#	PROG CODE	INSTITUTION NAME	PROGRAMME NAME	CUTOFF - 2023	CUTOFF - 2022	SUBJECT 1	SUBJECT 2	SUBJECT 3	SUBJECT 4
1	1253494	MOI UNIVERSITY	BACHELOR OF EDUCATION (ARTS - BUSINESS STUDIES)	26.949	28.774	BST(565):C+	KIS(102)/MAT A(121)/MAT B(122)/HAG(311)/GEO(312) /CRE(313)/IRE(314)/HRE(31 5)/SEE(316)/HSC(441)/ARD( 442)/CMP(451)/FRE(501)/G ER(502)/ARB(503)/KSL(504) /MUC(511)/ACC(561)/COM (562)/BST(565):C+		
2	1700494	BOMET UNIVERSITY COLLEGE	BACHELOR OF EDUCATION (ARTS - BUSINESS STUDIES)	24.056	23.684	BST(565):C+	KIS(102)/MAT A(121)/MAT B(122)/HAG(311)/GEO(312) /CRE(313)/IRE(314)/HRE(31 5)/SEE(316)/HSC(441)/ARD( 442)/CMP(451)/FRE(501)/G ER(502)/ARB(503)/KSL(504) /MUC(511)/ACC(561)/COM (562)/BST(565):C+		
BACHELOR OF SCIENCE (MEDICAL PSYCHOLOGY)									
1	1253495	MOI UNIVERSITY	BACHELOR OF SCIENCE (MEDICAL PSYCHOLOGY)	32.731	33.51	BIO(231):C+	MAT A(121)/PHY(232):C+		
2	1600495	ALUPE UNIVERSITY	BACHELOR OF SCIENCE (MEDICAL PSYCHOLOGY)	15.864	17.043	BIO(231):C+	MAT A(121)/PHY(232):C+		
BACHELOR OF BUSINESS MANAGEMENT (MARINE BUSINESS MANAGEMENT)									
1	1253496	MOI UNIVERSITY	BACHELOR OF BUSINESS MANAGEMENT (MARINE BUSINESS MANAGEMENT)	21.375	21.444	MAT A(121)/MAT B(122):C			
BACHELOR OF APPLIED COMMUNICATION									
1	1164497	MULTIMEDIA UNIVERSITY OF KENYA	BACHELOR OF APPLIED COMMUNICATION	22.449	24.101	ENG(101)/KIS(102):C+			
2	1105497	CHUKA UNIVERSITY	BACHELOR OF ARTS IN COMMUNICATION STUDIES	22.449	24.891	ENG(101)/KIS(102):C+			
BACHELOR OF EDUCATION SCIENCE (COMPUTER)									
1	1117499	PWANI UNIVERSITY	BACHELOR OF EDUCATION SCIENCE (COMPUTER)	-	-	BIO(231)/PHY(232)/CHE(23 3)/MAT A(121):C+	BIO(231)/PHY(232)/CHE(23 3)/MAT A(121):C+		
BACHELOR OF SCIENCE (DRYLAND ANIMAL SCIENCE)									
1	1166501	SOUTH EASTERN KENYA UNIVERSITY	BACHELOR OF SCIENCE (DRYLAND ANIMAL SCIENCE)	-	-	BIO(231)/AGR(443):C+	CHE(233):C	MAT A(121)/PHY(232)/GEO(312):C	
BACHELOR OF SCIENCE (ELECTRONICS)									
1	1166502	SOUTH EASTERN KENYA UNIVERSITY	BACHELOR OF SCIENCE (ELECTRONICS)	15.683	24.631	MAT A(121):C	PHY(232):C	CHE(233):C	
BACHELOR OF ENGINEERING (AERONAUTICAL ENGINEERING)									
1	1112503	TECHNICAL UNIVERSITY OF KENYA	BACHELOR OF ENGINEERING (AERONAUTICAL ENGINEERING)	43.316	43.028	MAT A(121):C+	PHY(232):C+	CHE(233):C+	ENG(101)/KIS(102):C+
BACHELOR OF SCIENCE (NUTRACEUTICAL SCIENCE AND TECHNOLOGY)									
1	1249505	JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY	BACHELOR OF SCIENCE (NUTRACEUTICAL SCIENCE AND TECHNOLOGY)	15.864	17.043	BIO(231)/AGR(443):C+	CHE(233):C	MAT A(121)/PHY(232)/GEO(312):C	
BACHELOR OF SCIENCE IN ELECTRONICS									
1	1181506	UNIVERSITY OF EASTERN AFRICA, BARATON	BACHELOR OF SCIENCE IN ELECTRONICS	15.683	15.982	MAT A(121):C	PHY(232):C	CHE(233):C	
BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY WITH MANAGEMENT)									
1	1111508	KENYATTA UNIVERSITY	BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY WITH MANAGEMENT)	24.557	29.162	MAT A(121):C	PHY(232):C	CHE(233):C+	
BACHELOR OF ARTS (FINE ART, WITH IT)									
1	1229509	MASENO UNIVERSITY	BACHELOR OF ARTS (FINE ART, WITH IT)	22.449	24.492	ARD(442)/CMP(451)/ENG( 101)/KIS(102):C+			
2	1111509	KENYATTA UNIVERSITY	BACHELOR OF ARTS (FINE ARTS)	22.449	28.51	ARD(442)/CMP(451)/ENG( 101)/KIS(102):C+			
BACHELOR OF CO-OPERATIVE MANAGEMENT									
1	1087510	KISII UNIVERSITY	BACHELOR OF CO-OPERATIVE MANAGEMENT	21.375	21.444	MAT A(121)/MAT B(122):C			
2	1105510	CHUKA UNIVERSITY	BACHELOR OF CO-OPERATIVE MANAGEMENT	21.375	21.444	MAT A(121)/MAT B(122):C			
3	1240510	MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY	BACHELOR OF CO-OPERATIVE MANAGEMENT	-	-	MAT A(121)/MAT B(122):C			
4	1080510	CO-OPERATIVE UNIVERSITY OF KENYA	BACHELOR OF CO-OPERATIVES AND COMMUNITY DEVELOPMENT	21.375	21.444	MAT A(121)/MAT B(122):C			
5	1108510	KIBABII UNIVERSITY	BACHELOR OF SCIENCE IN CO-OPERATIVE AND ENTREPRENEURSHIP MANAGEMENT	21.375	21.444	MAT A(121)/MAT B(122):C			
BACHELOR OF SCIENCE (COMPUTER SECURITY AND FORENSICS)									
