#	PROG CODE	INSTITUTION NAME	PROGRAMME NAME	CUTOFF - 2023	CUTOFF - 2022	SUBJECT 1	SUBJECT 2	SUBJECT 3	SUBJECT 4
3	1600337	ALUPE UNIVERSITY	BACHELOR OF ARTS (COUNSELLING PSYCHOLOGY)	22.449	25.135				
4	1068337	PAN AFRICA CHRISTIAN UNIVERSITY	BACHELOR OF ARTS IN COUNSELING PSYCHOLOGY	22.449	-				
5	1087337	KISII UNIVERSITY	BACHELOR OF ARTS IN COUNSELING PSYCHOLOGY	22.449	22.916				
6	1090337	SCOTT CHRISTIAN UNIVERSITY	BACHELOR OF ARTS IN COUNSELING PSYCHOLOGY	22.449	22.916				
7	1103337	KCA UNIVERSITY	BACHELOR OF ARTS IN COUNSELING PSYCHOLOGY	22.449	22.916				
8	1107337	ST PAULS UNIVERSITY	BACHELOR OF ARTS IN COUNSELING PSYCHOLOGY	22.449	22.916				
9	1119337	AFRICA INTERNATIONAL UNIVERSITY	BACHELOR OF ARTS IN COUNSELING PSYCHOLOGY	22.449	22.916				
10	1181337	UNIVERSITY OF EASTERN AFRICA, BARATON	BACHELOR OF ARTS IN COUNSELING PSYCHOLOGY	-	-				
11	1475337	TANGAZA UNIVERSITY	BACHELOR OF ARTS IN COUNSELING PSYCHOLOGY	22.449	22.916				
12	1480337	CATHOLIC UNIVERSITY OF EASTERN AFRICA	BACHELOR OF ARTS IN COUNSELING PSYCHOLOGY	22.449	22.916				
13	1063337	TECHNICAL UNIVERSITY OF MOMBASA	BACHELOR OF ARTS IN COUNSELLING PSYCHOLOGY	22.449	26.516				
14	1225337	INTERNATIONAL LEADERSHIP UNIVERSITY	BACHELOR OF ARTS IN COUNSELLING PSYCHOLOGY	22.449	22.916				
15	1112337	TECHNICAL UNIVERSITY OF KENYA	BACHELOR OF SCIENCE (COUNSELLING PSYCHOLOGY)	31.022	33.977				
16	1253337	MOI UNIVERSITY	BACHELOR OF SCIENCE (COUNSELLING PSYCHOLOGY)	24.041	28.369				
17	1700337	BOMET UNIVERSITY COLLEGE	BACHELOR OF SCIENCE (COUNSELLING PSYCHOLOGY)	22.449	22.916				
18	1580337	KENYATTA UNIVERSITY - MAMA NGINA UNIVERSITY COLLEGE	BACHELOR OF ARTS (COUNSELLING)	24.094	24.659				
19	1162337	DAYSTAR UNIVERSITY	BACHELOR OF ARTS IN PSYCHOLOGY	22.449	22.916				
20	1077337	KENYA METHODIST UNIVERSITY	BACHELOR OF ARTS IN COUNSELING	22.449	22.916				
21	1061337	KABARAK UNIVERSITY	BACHELOR OF COUNSELLING PSYCHOLOGY	-	-				
BACHELOR OF ENVIRONMENTAL STUDIES (EARTH SCIENCES)									
1	1165339	MAASAI MARA UNIVERSITY	BACHELOR OF ENVIRONMENTAL STUDIES (EARTH SCIENCES)	-	17.043	BIO(231)/AGR(443):C+	CHE(233)/GEO(312):C+		
BACHELOR OF URBAN AND REGIONAL PLANNING									
1	1165340	MAASAI MARA UNIVERSITY	BACHELOR OF URBAN AND REGIONAL PLANNING	18.392	18.692	MAT A(121):C	ENG(101)/KIS(102):C+	GEO(312):C	
BACHELOR OF SCIENCE IN PARKS, RECREATION AND LEISURE MANAGEMENT									
1	1165341	MAASAI MARA UNIVERSITY	BACHELOR OF SCIENCE IN PARKS, RECREATION AND LEISURE MANAGEMENT	-	-				
BACHELOR OF ARTS (HISTORY & ECONOMICS)									
1	1057342	EGERTON UNIVERSITY	BACHELOR OF ARTS (HISTORY & ECONOMICS)	18.831	19.914	MAT A(121):C+	ENG(101)/KIS(102):C		
2	1105342	CHUKA UNIVERSITY	BACHELOR OF ARTS IN HISTORY AND ECONOMICS	18.831	19.914	MAT A(121):C+	ENG(101)/KIS(102):C		
BACHELOR OF SCIENCE (DAIRY TECHNOLOGY & MANAGEMENT)									
1	1057345	EGERTON UNIVERSITY	BACHELOR OF SCIENCE (DAIRY TECHNOLOGY & MANAGEMENT)	15.864	17.043	BIO(231)/AGR(443):C+	CHE(233):C	MAT A(121)/PHY(232)/GEO(312):C	
BACHELOR OF SCIENCE (AGRICULTURE & HUMAN ECOLOGY EXTENSION)									
1	1057346	EGERTON UNIVERSITY	BACHELOR OF SCIENCE (AGRICULTURE & HUMAN ECOLOGY EXTENSION)	15.864	25.432	BIO(231)/AGR(443):C+	CHE(233):C	MAT A(121)/PHY(232)/GEO(312):C	
2	1495346	LUKENYA UNIVERSITY	BACHELOR OF SCIENCE IN ECOLOGY AND ENVIRONMENT	-	-	BIO(231)/AGR(443):C+	CHE(233):C	MAT A(121)/PHY(232)/GEO(312):C	
BACHELOR OF SCIENCE (APPLIED AQUATIC SCIENCE)									
1	1057347	EGERTON UNIVERSITY	BACHELOR OF SCIENCE (APPLIED AQUATIC SCIENCE)	15.864	17.043	BIO(231):C	CHE(233):C		
2	1087347	KISII UNIVERSITY	BACHELOR OF SCIENCE (APPLIED AQUATIC SCIENCE)	15.864	17.043	BIO(231):C	CHE(233):C		
BACHELOR OF SCIENCE (NATURAL RESOURCE MANAGEMENT)									
1	1114348	UNIVERSITY OF ELDORET	BACHELOR OF SCIENCE (NATURAL RESOURCE MANAGEMENT)	15.864	17.043	BIO(231)/AGR(443):C+	CHE(233):C	MAT A(121)/PHY(232)/GEO(312):C	
2	1057348	EGERTON UNIVERSITY	BACHELOR OF SCIENCE (NATURAL RESOURCES MANAGEMENT)	15.864	17.043	BIO(231)/AGR(443):C+	CHE(233):C	MAT A(121)/PHY(232)/GEO(312):C	
3	1082348	MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY	BACHELOR OF SCIENCE (NATURAL RESOURCES MANAGEMENT)	15.864	17.043	BIO(231)/AGR(443):C+	CHE(233):C	MAT A(121)/PHY(232)/GEO(312):C	
4	1105348	CHUKA UNIVERSITY	BACHELOR OF SCIENCE (NATURAL RESOURCES MANAGEMENT)	15.864	17.043	BIO(231)/AGR(443):C+	CHE(233):C	MAT A(121)/PHY(232)/GEO(312):C	
5	1087348	KISII UNIVERSITY	BACHELOR OF SCIENCE IN NATURAL RESOURCE MANAGEMENT	15.864	17.043	BIO(231)/AGR(443):C+	CHE(233):C	MAT A(121)/PHY(232)/GEO(312):C	
6	1570348	TURKANA UNIVERSITY COLLEGE	BACHELOR OF SCIENCE IN NATURAL RESOURCE MANAGEMENT	15.864	17.043	BIO(231)/AGR(443):C+	CHE(233):C	MAT A(121)/PHY(232)/GEO(312):C	
BACHELOR OF SCIENCE (MINING AND MINERAL PROCESSING ENGINEERING)									
