#	PROG CODE	INSTITUTION NAME	PROGRAMME NAME	CUTOFF - 2023	CUTOFF - 2022	SUBJECT 1	SUBJECT 2	SUBJECT 3	SUBJECT 4
2	1079132	KIRINYAGA UNIVERSITY	BACHELOR OF SCIENCE (NURSING)	39.875	39.509	BIO(231):C+	CHE(233):C+	MAT A(121)/PHY(232):C+	ENG(101)/KIS(102):C+
3	1082132	MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY	BACHELOR OF SCIENCE (NURSING)	42.475	41.939	BIO(231):C+	CHE(233):C+	MAT A(121)/PHY(232):C+	ENG(101)/KIS(102):C+
4	1093132	UNIVERSITY OF EMBU	BACHELOR OF SCIENCE (NURSING)	39.387	40.621	BIO(231):C+	CHE(233):C+	MAT A(121)/PHY(232):C+	ENG(101)/KIS(102):C+
5	1105132	CHUKA UNIVERSITY	BACHELOR OF SCIENCE (NURSING)	41.38	41.319	BIO(231):C+	CHE(233):C+	MAT A(121)/PHY(232):C+	ENG(101)/KIS(102):C+
6	1118132	UNIVERSITY OF KABIANGA	BACHELOR OF SCIENCE (NURSING)	41.076	40.834	BIO(231):C+	CHE(233):C+	MAT A(121)/PHY(232):C+	ENG(101)/KIS(102):C+
7	1166132	SOUTH EASTERN KENYA UNIVERSITY	BACHELOR OF SCIENCE (NURSING)	39.547	39.03	BIO(231):C+	CHE(233):C+	MAT A(121)/PHY(232):C+	ENG(101)/KIS(102):C+
8	1240132	MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY	BACHELOR OF SCIENCE (NURSING)	40.452	40.451	BIO(231):C+	CHE(233):C+	MAT A(121)/PHY(232):C+	ENG(101)/KIS(102):C+
9	1246132	MURANG'A UNIVERSITY OF TECHNOLOGY	BACHELOR OF SCIENCE (NURSING)	40.399	39.901	BIO(231):C+	CHE(233):C+	MAT A(121)/PHY(232):C+	ENG(101)/KIS(102):C+
10	1253132	MOI UNIVERSITY	BACHELOR OF SCIENCE (NURSING)	42.39	42.216	BIO(231):C+	CHE(233):C+	MAT A(121)/PHY(232):C+	ENG(101)/KIS(102):C+
11	1263132	UNIVERSITY OF NAIROBI	BACHELOR OF SCIENCE (NURSING)	43.676	43.297	BIO(231):C+	CHE(233):C+	MAT A(121)/PHY(232):C+	ENG(101)/KIS(102):C+
12	1580132	KENYATTA UNIVERSITY - MAMA NGINA UNIVERSITY COLLEGE	BACHELOR OF SCIENCE (NURSING)	40.891	40.027	BIO(231):C+	CHE(233):C+	MAT A(121)/PHY(232):C+	ENG(101)/KIS(102):C+
13	1057132	EGERTON UNIVERSITY	BACHELOR OF SCIENCE IN NURSING	42.166	41.947	BIO(231):C+	CHE(233):C+	MAT A(121)/PHY(232):C+	ENG(101)/KIS(102):C+
14	1061132	KABARAK UNIVERSITY	BACHELOR OF SCIENCE IN NURSING	39.768	37.592	BIO(231):C+	CHE(233):C+	MAT A(121)/PHY(232):C+	ENG(101)/KIS(102):C+
15	1077132	KENYA METHODIST UNIVERSITY	BACHELOR OF SCIENCE IN NURSING	39.32	35.575	BIO(231):C+	CHE(233):C+	MAT A(121)/PHY(232):C+	ENG(101)/KIS(102):C+
