#	PROG CODE	INSTITUTION NAME	PROGRAMME NAME	CUTOFF - 2023	CUTOFF - 2022	SUBJECT 1	SUBJECT 2	SUBJECT 3	SUBJECT 4
1	3895642	ISLAMIC UNIVERSITY OF KENYA	BACHELOR OF ARTS IN ISLAMIC SHARIA	20.93	19.67	CRE(313)/IRE(314)/HRE(31 5):C+	ENG(101)/KIS(102):C		
BACHELOR OF HEALTH SERVICES MANAGEMENT									
1	1111643	KENYATTA UNIVERSITY	BACHELOR OF HEALTH SERVICES MANAGEMENT	27.581	27.736	BIO(231):C	CHE(233):C	MAT A(121)/PHY(232):C	ENG(101)/KIS(102):C
BACHELOR OF DISASTER MANAGEMENT & INTERNATIONAL DIPLOMACY									
1	1082644	MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY	BACHELOR OF DISASTER MANAGEMENT & INTERNATIONAL DIPLOMACY	22.449	22.916				
2	1470644	KAIMOSI FRIENDS UNIVERSITY	BACHELOR OF DISASTER MANAGEMENT & INTERNATIONAL DIPLOMACY	22.449	22.916				
BACHELOR OF ARTS (ECONOMICS, WITH IT)									
1	1229646	MASENO UNIVERSITY	BACHELOR OF ARTS (ECONOMICS, WITH IT)	18.831	19.914	MAT A(121):C+	ENG(101)/KIS(102):C		
2	1515646	TOM MBOYA UNIVERSITY	BACHELOR OF ARTS (ECONOMICS, WITH IT)	18.831	19.914	MAT A(121):C+	ENG(101)/KIS(102):C		
3	1073646	RONGO UNIVERSITY	BACHELOR OF ARTS (ECONOMICS)	18.831	19.914	MAT A(121):C+	ENG(101)/KIS(102):C		
4	1114646	UNIVERSITY OF ELDORET	BACHELOR OF ARTS (ECONOMICS)	18.831	19.914	MAT A(121):C+	ENG(101)/KIS(102):C		
5	1117646	PWANI UNIVERSITY	BACHELOR OF ARTS (ECONOMICS)	18.831	19.914	MAT A(121):C+	ENG(101)/KIS(102):C		
6	1118646	UNIVERSITY OF KABIANGA	BACHELOR OF ARTS (ECONOMICS)	18.831	19.914	MAT A(121):C+	ENG(101)/KIS(102):C		
7	1253646	MOI UNIVERSITY	BACHELOR OF ARTS (ECONOMICS)	18.831	19.914	MAT A(121):C+	ENG(101)/KIS(102):C		
8	1600646	ALUPE UNIVERSITY	BACHELOR OF ARTS (ECONOMICS)	18.831	19.914	MAT A(121):C+	ENG(101)/KIS(102):C		
