#	PROG CODE	INSTITUTION NAME	PROGRAMME NAME	CUTOFF - 2023	CUTOFF - 2022	SUBJECT 1	SUBJECT 2	SUBJECT 3	SUBJECT 4
1	1118581	UNIVERSITY OF KABIANGA	BACHELOR OF ARTS (HUMAN RIGHTS)	22.449	22.916				
2	1176581	LAIKIPIA UNIVERSITY	BACHELOR OF ARTS (PEACE EDUCATION)	22.449	22.916				
BACHELOR OF ARTS INTERIOR DESIGN									
1	1263317	UNIVERSITY OF NAIROBI	BACHELOR OF ARTS INTERIOR DESIGN	34.667	35.659	CHE(233):C			
2	1229317	MASENO UNIVERSITY	BACHELOR OF ARTS IN DESIGN (INTERIOR DESIGN, WITH IT)	15.864	28.559	CHE(233):C			
BACHELOR OF SCIENCE (INFORMATION SYSTEMS)									
1	1229612	MASENO UNIVERSITY	BACHELOR OF SCIENCE (INFORMATION SYSTEMS)	21.375	21.444	MAT A(121)/MAT B(122):C			
2	1279612	MOUNT KENYA UNIVERSITY	BACHELOR OF ORGANIZATIONAL MANAGEMENT AND TECHNOLOGY	-	-	MAT A(121)/MAT B(122):C			
BACHELOR OF SCIENCE ( ENVIRONMENTAL SCIENCE AND RESOURCE MANAGEMENT )									
1	1240786	MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY	BACHELOR OF SCIENCE ( ENVIRONMENTAL SCIENCE AND RESOURCE MANAGEMENT )	15.864	17.043	BIO(231)/AGR(443):C+	CHE(233)/GEO(312):C+		
BACHELOR OF SCIENCE IN PROCUREMENT AND CONTRACT MANAGEMENT									
1	1249245	JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY	BACHELOR OF SCIENCE IN PROCUREMENT AND CONTRACT MANAGEMENT	25.264	25.466	MAT A(121)/MAT B(122):C			
BACHELOR OF SCIENCE IN BUSINESS INNOVATION AND TECHNOLOGY MANAGEMENT									
1	1249214	JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY	BACHELOR OF SCIENCE IN BUSINESS INNOVATION AND TECHNOLOGY MANAGEMENT	21.375	21.444	MAT A(121)/MAT B(122):C			
2	1080214	CO-OPERATIVE UNIVERSITY OF KENYA	BACHELOR OF SCIENCE IN MARKETING, INNOVATION AND TECHNOLOGY	21.375	21.444	MAT A(121)/MAT B(122):C			
BACHELOR OF TECHNOLOGY (TELECOMMUNICATION AND INFORMATION ENGINEERING)									
1	1079289	KIRINYAGA UNIVERSITY	BACHELOR OF TECHNOLOGY (TELECOMMUNICATION AND INFORMATION ENGINEERING)	15.683	15.982	MAT A(121):C+	PHY(232):C+	CHE(233):C+	
BACHELOR OF SCIENCE (GEOPHYSICS AND MINERALOGY)									
1	1087579	KISII UNIVERSITY	BACHELOR OF SCIENCE (GEOPHYSICS AND MINERALOGY)	15.683	17.363	MAT A(121):C+	PHY(232):C+	GEO(312)/CHE(233):C	
BACHELOR OF ARTS IN TRANSLATION STUDIES									
1	1107577	ST PAULS UNIVERSITY	BACHELOR OF ARTS IN TRANSLATION STUDIES	22.449	22.916	ENG(101)/KIS(102):C+			
BACHELOR OF SCIENCE IN ECO-TOURISM, HOTEL AND INSTITUTION MANAGEMENT									
1	1229B52	MASENO UNIVERSITY	BACHELOR OF SCIENCE IN ECO-TOURISM, HOTEL AND INSTITUTION MANAGEMENT	-	-				
BACHELOR OF INDUSTRIAL TECHNOLOGY									
1	1057B53	EGERTON UNIVERSITY	BACHELOR OF INDUSTRIAL TECHNOLOGY	15.683	15.982	MAT A(121):C+	PHY(232):C+	CHE(233):C+	
BACHELOR OF SCIENCE IN AGRIBUSINESS ECONOMICS AND FOOD INDUSTRY MANAGEMENT									
1	1249B54	JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY	BACHELOR OF SCIENCE IN AGRIBUSINESS ECONOMICS AND FOOD INDUSTRY MANAGEMENT	15.864	16.974	MAT A(121):C	BIO(231)/AGR(443)/BST(56 5):C+		
BACHELOR OF SCIENCE IN GAMING AND ANIMATION TECHNOLOGY									
1	1103B55	KCA UNIVERSITY	BACHELOR OF SCIENCE IN GAMING AND ANIMATION TECHNOLOGY	24.373	-	ARD(442)/CMP(451)/ENG( 101)/KIS(102):C+			
BACHELOR OF SCIENCE IN ENVIRONMENT, LANDS AND SUSTAINABLE INFRASTRUCTURE									
1	1080174	CO-OPERATIVE UNIVERSITY OF KENYA	BACHELOR OF SCIENCE IN ENVIRONMENT, LANDS AND SUSTAINABLE INFRASTRUCTURE	15.864	17.043	BIO(231)/AGR(443):C+	CHE(233)/GEO(312):C+		
BACHELOR OF SCIENCE (MATHEMATICS AND COMPUTING)									
