#	PROG CODE	INSTITUTION NAME	PROGRAMME NAME	CUTOFF - 2023	CUTOFF - 2022	SUBJECT 1	SUBJECT 2	SUBJECT 3	SUBJECT 4
4	1700326	BOMET UNIVERSITY COLLEGE	BACHELOR OF EDUCATION (GUIDANCE AND COUNSELLING)	24.411	22.358	HAG(311)/GEO(312)/CRE(3 13)/IRE(314)/HRE(315)/SEE (316)/ENG(101)/KIS(102)/ MAT A(121)/MAT B(122)/HSC(441)/ARD(442) /CMP(451)/FRE(501)/GER( 502)/ARB(503)/KSL(504)/M UC(511)/ACC(561)/COM(5 62)/BST(565):C+	HAG(311)/GEO(312)/CRE(3 13)/IRE(314)/HRE(315)/SEE( 316)/ENG(101)/KIS(102)/M AT A(121)/MAT B(122)/HSC(441)/ARD(442) /CMP(451)/FRE(501)/GER(5 02)/ARB(503)/KSL(504)/MU C(511)/ACC(561)/COM(562 )/BST(565):C+		
5	1118326	UNIVERSITY OF KABIANGA	BACHELOR OF EDUCATION WITH GUIDANCE AND COUNSELLING	23.873	22.358	HAG(311)/GEO(312)/CRE(3 13)/IRE(314)/HRE(315)/SEE (316)/ENG(101)/KIS(102)/ MAT A(121)/MAT B(122)/HSC(441)/ARD(442) /CMP(451)/FRE(501)/GER( 502)/ARB(503)/KSL(504)/M UC(511)/ACC(561)/COM(5 62)/BST(565):C+	HAG(311)/GEO(312)/CRE(3 13)/IRE(314)/HRE(315)/SEE( 316)/ENG(101)/KIS(102)/M AT A(121)/MAT B(122)/HSC(441)/ARD(442) /CMP(451)/FRE(501)/GER(5 02)/ARB(503)/KSL(504)/MU C(511)/ACC(561)/COM(562 )/BST(565):C+		
BACHELOR OF PROJECT PLANNING AND MANAGEMENT									
1	1073327	RONGO UNIVERSITY	BACHELOR OF PROJECT PLANNING AND MANAGEMENT	21.375	22.895				
2	1244327	KARATINA UNIVERSITY	BACHELOR OF PROJECT PLANNING AND MANAGEMENT	21.375	24.269				
3	1263327	UNIVERSITY OF NAIROBI	BACHELOR OF PROJECT PLANNING AND MANAGEMENT	30.644	32.159				
4	3890327	KOITALEEL SAMOEI UNIVERSITY COLLEGE	BACHELOR OF PROJECT PLANNING AND MANAGEMENT	21.375	21.444				
5	1165327	MAASAI MARA UNIVERSITY	BACHELOR OF SCIENCE (PROJECT PLANNING AND	21.375	23.222				
6	1253327	MOI UNIVERSITY	BACHELOR OF SCIENCE (PROJECT PLANNING AND	22.69	27.879				
7	1700327	BOMET UNIVERSITY COLLEGE	BACHELOR OF SCIENCE (PROJECT PLANNING AND	21.375	21.444				
