#	PROG CODE	INSTITUTION NAME	PROGRAMME NAME	CUTOFF - 2023	CUTOFF - 2022	SUBJECT 1	SUBJECT 2	SUBJECT 3	SUBJECT 4
5	1077221	KENYA METHODIST UNIVERSITY	BACHELOR OF SCIENCE (HOSPITALITY AND TOURISM MANAGEMENT)	-	-				
6	1088221	GRETSA UNIVERSITY	BACHELOR OF SCIENCE (HOSPITALITY AND TOURISM MANAGEMENT)	21.375	21.444				
7	1170221	MACHAKOS UNIVERSITY	BACHELOR OF SCIENCE (HOSPITALITY AND TOURISM MANAGEMENT)	23.996	26.811				
8	1425221	ZETECH UNIVERSITY	BACHELOR OF SCIENCE (HOSPITALITY AND TOURISM MANAGEMENT)	21.375	24.231				
9	1580221	KENYATTA UNIVERSITY - MAMA NGINA UNIVERSITY COLLEGE	BACHELOR OF SCIENCE (HOSPITALITY AND TOURISM MANAGEMENT)	25.531	27.035				
10	1173221	DEDAN KIMATHI UNIVERSITY OF TECHNOLOGY	BACHELOR OF SUSTAINABLE TOURISM AND HOSPITALITY MANAGEMENT	25.03	27.295				
11	1082427	MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY	BACHELOR OF HOSPITALITY AND INSTITUTIONAL MANAGEMENT	23.962	26.561				
BACHELOR OF HOTEL & HOSPITALITY MANAGEMENT									
1	1114222	UNIVERSITY OF ELDORET	BACHELOR OF HOTEL & HOSPITALITY MANAGEMENT	24.844	27.599				
2	1073222	RONGO UNIVERSITY	BACHELOR OF HOTEL AND HOSPITALITY MANAGEMENT	23.57	24.915				
3	1087387	KISII UNIVERSITY	BACHELOR OF HOTEL AND HOSPITALITY MANAGEMENT	21.375	24.435				
4	1244222	KARATINA UNIVERSITY	BACHELOR OF HOTEL AND HOSPITALITY MANAGEMENT	23.369	25.393				
5	1600222	ALUPE UNIVERSITY	BACHELOR OF HOTEL AND HOSPITALITY MANAGEMENT	23.319	24.604				
6	1118222	UNIVERSITY OF KABIANGA	BACHELOR OF HOTELS AND HOSPITALITY MANAGEMENT	23.329	25.908				
7	1165222	MAASAI MARA UNIVERSITY	BACHELOR OF HOTELS AND HOSPITALITY MANAGEMENT	26.074	27.916				
8	1253222	MOI UNIVERSITY	BACHELOR OF HOTELS AND HOSPITALITY MANAGEMENT	26.119	27.875				
BACHELOR OF SCIENCE (ECO-TOURISM, HOTEL AND INSTITUTION MANAGEMENT, WITH IT)									
1	1229223	MASENO UNIVERSITY	BACHELOR OF SCIENCE (ECO-TOURISM, HOTEL AND INSTITUTION MANAGEMENT, WITH IT)	27.327	-				
2	1515223	TOM MBOYA UNIVERSITY	BACHELOR OF SCIENCE (ECO-TOURISM, HOTEL AND INSTITUTION MANAGEMENT, WITH IT)	21.375	22.817				
3	1057223	EGERTON UNIVERSITY	BACHELOR OF SCIENCE (ECOTOURISM & HOSPITALITY MANAGEMENT)	27.305	27.769				
4	1105223	CHUKA UNIVERSITY	BACHELOR OF SCIENCE IN ECOTOURISM	24.837	26.382				
5	1073223	RONGO UNIVERSITY	BACHELOR OF TOURISM AND HOSPITALITY MANAGEMENT	22.999	22.353				
6	1087223	KISII UNIVERSITY	BACHELOR OF ECOTOURISM AND HOSPITALITY MANAGEMENT	21.375	23.021				
BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT									
1	1061224	KABARAK UNIVERSITY	BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT	21.375	21.444				
2	1077224	KENYA METHODIST UNIVERSITY	BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT	21.375	21.444				
3	1088224	GRETSA UNIVERSITY	BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT	21.375	21.444				
4	1279224	MOUNT KENYA UNIVERSITY	BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT	27.515	27.433				
5	1093224	UNIVERSITY OF EMBU	BACHELOR OF SCIENCE IN HOSPITALITY AND TOURISM MANAGEMENT	-	-				
6	1240224	MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY	BACHELOR OF SCIENCE IN HOSPITALITY AND TOURISM MANAGEMENT	23.506	25.043				
BACHELOR OF SCIENCE (BIOTECHNOLOGY)									
1	1082226	MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY	BACHELOR OF SCIENCE (BIOTECHNOLOGY)	15.683	16.974	MAT A(121):C	BIO(231):C+	CHE(233):C	
2	1087226	KISII UNIVERSITY	BACHELOR OF SCIENCE (BIOTECHNOLOGY)	15.683	16.974	MAT A(121):C	BIO(231):C+	CHE(233):C	
3	1111226	KENYATTA UNIVERSITY	BACHELOR OF SCIENCE (BIOTECHNOLOGY)	25.602	25.106	MAT A(121):C	BIO(231):C+	CHE(233):C	
4	1117226	PWANI UNIVERSITY	BACHELOR OF SCIENCE (BIOTECHNOLOGY)	15.683	16.974	MAT A(121):C	BIO(231):C+	CHE(233):C	
5	1240226	MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY	BACHELOR OF SCIENCE (BIOTECHNOLOGY)	15.683	16.974	MAT A(121):C	BIO(231):C+	CHE(233):C	
6	1249226	JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY	BACHELOR OF SCIENCE (BIOTECHNOLOGY)	28.159	26.759	MAT A(121):C	BIO(231):C+	CHE(233):C	
BACHELOR OF TECHNOLOGY (BIOTECHNOLOGY)									
1	1112227	TECHNICAL UNIVERSITY OF KENYA	BACHELOR OF TECHNOLOGY (BIOTECHNOLOGY)	28.133	27.163	MAT A(121):C	BIO(231):C+	CHE(233):C	
