#	PROG CODE	INSTITUTION NAME	PROGRAMME NAME	CUTOFF - 2023	CUTOFF - 2022	SUBJECT 1	SUBJECT 2	SUBJECT 3	SUBJECT 4
1	1246E75	MURANG'A UNIVERSITY OF TECHNOLOGY	BACHELOR OF SCIENCE IN AGRICULTURAL ECONOMICS AND RURAL DEVELOPMENT	15.864	-	BIO(231)/AGR(443):C+	CHE(233):C	MAT A(121)/PHY(232)/GEO(312):C	
BACHELOR OF SCIENCE IN COMPUTER INFORMATION SYSTEMS									
1	1077B68	KENYA METHODIST UNIVERSITY	BACHELOR OF SCIENCE IN COMPUTER INFORMATION SYSTEMS	18.814	-	MAT A(121):C+	PHY(232):C+	ENG(101)/KIS(102):C	
BACHELOR OF TECHNOLOGY IN APPLIED CHEMISTRY (ANALYTICAL AND INDUSTRIAL OPTIONS)									
1	1063426	TECHNICAL UNIVERSITY OF MOMBASA	BACHELOR OF TECHNOLOGY IN APPLIED CHEMISTRY (ANALYTICAL AND INDUSTRIAL OPTIONS)	15.683	15.982	MAT A(121):C	PHY(232):C	CHE(233):C+	
BACHELOR OF SCIENCE IN BIOSAFETY AND BIOSECURITY									
1	1082G66	MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY	BACHELOR OF SCIENCE IN BIOSAFETY AND BIOSECURITY	15.683	-	HAG(311)/GEO(312)/CRE(3 13)/IRE(314)/HRE(315)/SEE (316)/ENG(101)/KIS(102)/ MAT A(121)/MAT B(122)/HSC(441)/ARD(442) /CMP(451)/FRE(501)/GER( 502)/ARB(503)/KSL(504)/M UC(511)/ACC(561)/COM(5 62)/BST(565):C+	HAG(311)/GEO(312)/CRE(3 13)/IRE(314)/HRE(315)/SEE( 316)/ENG(101)/KIS(102)/M AT A(121)/MAT B(122)/HSC(441)/ARD(442) /CMP(451)/FRE(501)/GER(5 02)/ARB(503)/KSL(504)/MU C(511)/ACC(561)/COM(562 )/BST(565):C+		
BACHELOR OF SCIENCE IN RANGELAND ECOSYSTEM MANAGEMENT									
1	1091G67	TAITA TAVETA UNIVERSITY	BACHELOR OF SCIENCE IN RANGELAND ECOSYSTEM MANAGEMENT	16.274	-	BIO(231)/AGR(443):C+	CHE(233):C	MAT A(121)/PHY(232)/GEO(312):C	
BACHELOR OF SCIENCE IN AGRIBUSINESS MANAGEMENT AND ENTERPRISE DEVELOPMENT									
1	1246G85	MURANG'A UNIVERSITY OF TECHNOLOGY	BACHELOR OF SCIENCE IN AGRIBUSINESS MANAGEMENT AND ENTERPRISE DEVELOPMENT	15.949	-	MAT A(121):C	BIO(231)/AGR(443)/BST(56 5):C+		
BACHELOR OF SCIENCE IN EMPLOYMENT AND LABOUR STUDIES									
1	1515C20	TOM MBOYA UNIVERSITY	BACHELOR OF SCIENCE IN EMPLOYMENT AND LABOUR STUDIES	-	-	MAT A(121)/MAT B(122):C			
BACHELOR OF ARTS IN ENGLISH									
1	1162602	DAYSTAR UNIVERSITY	BACHELOR OF ARTS IN ENGLISH	-	-	ENG(101):C+			
BACHELOR OF SECURITY SCIENCE AND MANAGEMENT									
1	1111668	KENYATTA UNIVERSITY	BACHELOR OF SECURITY SCIENCE AND MANAGEMENT	-	-				
BACHELOR OF AGRI TECHNOLOGY AND FOOD SYSTEMS									
1	5145J24	OPEN UNIVERSITY OF KENYA	BACHELOR OF AGRI TECHNOLOGY AND FOOD SYSTEMS	-	-	BIO(231)/AGR(443):C+	CHE(233):C	MAT A(121)/PHY(232)/GEO(312):C	
BACHELOR OF SCIENCE IN AVIATION MANAGEMENT									
1	1181J25	UNIVERSITY OF EASTERN AFRICA, BARATON	BACHELOR OF SCIENCE IN AVIATION MANAGEMENT	-	-	MAT A(121)/MAT B(122):C			
BACHELOR OF SCIENCE IN FASHION AND TEXTILE DESIGN									
1	1181J26	UNIVERSITY OF EASTERN AFRICA, BARATON	BACHELOR OF SCIENCE IN FASHION AND TEXTILE DESIGN	-	-	CHE(233):C			
BACHELOR OF ARTS IN SOCIAL WORK									
1	1114J27	UNIVERSITY OF ELDORET	BACHELOR OF ARTS IN SOCIAL WORK	-	-				
2	1181J27	UNIVERSITY OF EASTERN AFRICA, BARATON	BACHELOR OF ARTS IN SOCIAL WORK	-	-				
BACHELOR OF SCIENCE IN HOTEL AND HOSPITALITY MANAGEMENT									
1	1181J28	UNIVERSITY OF EASTERN AFRICA, BARATON	BACHELOR OF SCIENCE IN HOTEL AND HOSPITALITY MANAGEMENT	-	-				
BACHELOR OF SCIENCE IN DISASTER MANAGEMENT									
1	1114J29	UNIVERSITY OF ELDORET	BACHELOR OF SCIENCE IN DISASTER MANAGEMENT	-	-				
BACHELOR OF ARTS IN HUMAN RESOURCE MANAGEMENT									
1	1114J30	UNIVERSITY OF ELDORET	BACHELOR OF ARTS IN HUMAN RESOURCE MANAGEMENT	-	-				
BACHELOR OF ARTS IN COMMUNICATION AND MEDIA STUDIES									
1	1114J31	UNIVERSITY OF ELDORET	BACHELOR OF ARTS IN COMMUNICATION AND MEDIA STUDIES	-	-	ENG(101)/KIS(102):C+			
