#	PROG CODE	INSTITUTION NAME	PROGRAMME NAME	CUTOFF - 2023	CUTOFF - 2022	SUBJECT 1	SUBJECT 2	SUBJECT 3	SUBJECT 4
29	1600133	ALUPE UNIVERSITY	BACHELOR OF COMMERCE	-	-	MAT A(121)/MAT B(122):C			
30	3890133	KOITALEEL SAMOEI UNIVERSITY COLLEGE	BACHELOR OF COMMERCE	21.375	21.444	MAT A(121)/MAT B(122):C			
31	1073133	RONGO UNIVERSITY	BACHELOR OF COMMERCE (B.COM)	21.375	21.444	MAT A(121)/MAT B(122):C			
32	1078133	AFRICA NAZARENE UNIVERSITY	BACHELOR OF COMMERCE (B.COM)	21.375	21.444	MAT A(121)/MAT B(122):C			
33	1080133	CO-OPERATIVE UNIVERSITY OF KENYA	BACHELOR OF COMMERCE (B.COM)	24.003	21.444	MAT A(121)/MAT B(122):C			
34	1091133	TAITA TAVETA UNIVERSITY	BACHELOR OF COMMERCE (B.COM)	21.375	21.444	MAT A(121)/MAT B(122):C			
35	1107133	ST PAULS UNIVERSITY	BACHELOR OF COMMERCE (B.COM)	21.375	21.444	MAT A(121)/MAT B(122):C			
36	1111133	KENYATTA UNIVERSITY	BACHELOR OF COMMERCE (B.COM)	32.613	30.779	MAT A(121)/MAT B(122):C			
37	1112133	TECHNICAL UNIVERSITY OF KENYA	BACHELOR OF COMMERCE (B.COM)	30.286	29.07	MAT A(121)/MAT B(122):C			
38	1170133	MACHAKOS UNIVERSITY	BACHELOR OF COMMERCE (B.COM)	24.21	21.444	MAT A(121)/MAT B(122):C			
39	1176133	LAIKIPIA UNIVERSITY	BACHELOR OF COMMERCE (B.COM)	21.375	21.444	MAT A(121)/MAT B(122):C			
40	1240133	MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY	BACHELOR OF COMMERCE (B.COM)	21.375	21.444	MAT A(121)/MAT B(122):C			
41	1263133	UNIVERSITY OF NAIROBI	BACHELOR OF COMMERCE (B.COM)	34.426	33.556	MAT A(121)/MAT B(122):C			
42	1425133	ZETECH UNIVERSITY	BACHELOR OF COMMERCE (B.COM)	21.375	21.444	MAT A(121)/MAT B(122):C			
43	1580133	KENYATTA UNIVERSITY - MAMA NGINA UNIVERSITY COLLEGE	BACHELOR OF COMMERCE (B.COM)	24.044	21.444	MAT A(121)/MAT B(122):C			
44	1685133	THARAKA UNIVERSITY	BACHELOR OF COMMERCE (B.COM)	21.375	21.444	MAT A(121)/MAT B(122):C			
45	5145133	OPEN UNIVERSITY OF KENYA	BACHELOR OF COMMERCE (B.COM)	-	-	MAT A(121)/MAT B(122):C			
46	1173133	DEDAN KIMATHI UNIVERSITY OF TECHNOLOGY	BACHELOR OF COMMERCE(B.COM)	24.388	21.444	MAT A(121)/MAT B(122):C			
BACHELOR OF LAWS (LL.B.)									
1	1061134	KABARAK UNIVERSITY	BACHELOR OF LAWS (LL.B.)	37.986	35.922	ENG(101)/KIS(102):B			
2	1087134	KISII UNIVERSITY	BACHELOR OF LAWS (LL.B.)	38.924	39.448	ENG(101)/KIS(102):B			
3	1093134	UNIVERSITY OF EMBU	BACHELOR OF LAWS (LL.B.)	38.421	38.819	ENG(101)/KIS(102):B			
4	1105134	CHUKA UNIVERSITY	BACHELOR OF LAWS (LL.B.)	38.894	39.904	ENG(101)/KIS(102):B			
5	1162134	DAYSTAR UNIVERSITY	BACHELOR OF LAWS (LL.B.)	34.836	33.174	ENG(101)/KIS(102):B			
6	1166134	SOUTH EASTERN KENYA UNIVERSITY	BACHELOR OF LAWS (LL.B.)	33.8	-	ENG(101)/KIS(102):B			
7	1253134	MOI UNIVERSITY	BACHELOR OF LAWS (LL.B.)	40.225	40.788	ENG(101)/KIS(102):B			
8	1057134	EGERTON UNIVERSITY	BACHELOR OF LAWS (LLB)	39.534	39.86	ENG(101)/KIS(102):B			
9	1060134	RIARA UNIVERSITY	BACHELOR OF LAWS (LLB)	34.782	-	ENG(101)/KIS(102):B			
10	1078134	AFRICA NAZARENE UNIVERSITY	BACHELOR OF LAWS (LLB)	34.715	34.07	ENG(101)/KIS(102):B			
11	1111134	KENYATTA UNIVERSITY	BACHELOR OF LAWS (LLB)	41.643	41.278	ENG(101)/KIS(102):B			
12	1249134	JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY	BACHELOR OF LAWS (LLB)	41.184	41.254	ENG(101)/KIS(102):B			
13	1263134	UNIVERSITY OF NAIROBI	BACHELOR OF LAWS (LLB)	42.014	41.758	ENG(101)/KIS(102):B			
14	1279134	MOUNT KENYA UNIVERSITY	BACHELOR OF LAWS (LLB)	40.474	39.748	ENG(101)/KIS(102):B			
15	1480134	CATHOLIC UNIVERSITY OF EASTERN AFRICA	BACHELOR OF LAWS (LLB)	36.807	33.856	ENG(101)/KIS(102):B			
16	1515134	TOM MBOYA UNIVERSITY	BACHELOR OF LAWS (LLB)	-	-	ENG(101)/KIS(102):B			
17	1685134	THARAKA UNIVERSITY	BACHELOR OF LAWS (LLB)	-	-	ENG(101)/KIS(102):B			
18	1229134	MASENO UNIVERSITY	BACHELOR OF LAWS (LL.B.), WITH IT	39.798	39.439	ENG(101)/KIS(102):B			
BACHELOR OF EDUCATION (ARTS, WITH IT)									
1	1229135	MASENO UNIVERSITY	BACHELOR OF EDUCATION (ARTS, WITH IT)	31.535	32.556	HAG(311)/GEO(312)/CRE(3 13)/IRE(314)/HRE(315)/SEE (316)/ENG(101)/KIS(102)/ MAT A(121)/MAT B(122)/HSC(441)/ARD(442) /CMP(451)/FRE(501)/GER( 502)/ARB(503)/KSL(504)/M UC(511)/ACC(561)/COM(5 62)/BST(565):C+	HAG(311)/GEO(312)/CRE(3 13)/IRE(314)/HRE(315)/SEE( 316)/ENG(101)/KIS(102)/M AT A(121)/MAT B(122)/HSC(441)/ARD(442) /CMP(451)/FRE(501)/GER(5 02)/ARB(503)/KSL(504)/MU C(511)/ACC(561)/COM(562 )/BST(565):C+		
