#	PROG CODE	INSTITUTION NAME	PROGRAMME NAME	CUTOFF - 2023	CUTOFF - 2022	SUBJECT 1	SUBJECT 2	SUBJECT 3	SUBJECT 4
BACHELOR OF ENTREPRENUERSHIP & SMALL BUSINESS MANAGEMENT									
1	1057299	EGERTON UNIVERSITY	BACHELOR OF ENTREPRENUERSHIP & SMALL BUSINESS MANAGEMENT	21.375	-	MAT A(121)/MAT B(122):C			
2	1253299	MOI UNIVERSITY	BACHELOR OF SCIENCE (ENTREPRENEURSHIP STUDIES)	21.375	21.444	MAT A(121)/MAT B(122):C			
3	1700299	BOMET UNIVERSITY COLLEGE	BACHELOR OF SCIENCE (ENTREPRENEURSHIP STUDIES)	21.375	21.444	MAT A(121)/MAT B(122):C			
4	1079298	KIRINYAGA UNIVERSITY	BACHELOR OF SCIENCE (ENTREPRENEURSHIP)	21.375	-	MAT A(121)/MAT B(122):C			
5	1114299	UNIVERSITY OF ELDORET	BACHELOR OF SCIENCE (ENTREPRENEURSHIP)	21.375	21.444	MAT A(121)/MAT B(122):C			
6	1119298	AFRICA INTERNATIONAL UNIVERSITY	BACHELOR OF SCIENCE IN ENTREPRENEURSHIP	21.375	21.444	MAT A(121)/MAT B(122):C			
7	1165298	MAASAI MARA UNIVERSITY	BACHELOR OF SCIENCE IN ENTREPRENEURSHIP	21.375	21.444	MAT A(121)/MAT B(122):C			
8	1229299	MASENO UNIVERSITY	BACHELOR OF BUSINESS ENTREPRENEURSHIP , WITH IT	21.375	21.444	MAT A(121)/MAT B(122):C			
9	1105299	CHUKA UNIVERSITY	BACHELOR OF ENTREPRENUERSHIP AND ENTERPRISE MANAGEMENT	21.375	21.444	MAT A(121)/MAT B(122):C			
10	1087299	KISII UNIVERSITY	BACHELOR OF ENTREPRENUERSHIP AND MANAGEMENT	21.375	21.444	MAT A(121)/MAT B(122):C			
11	5145299	OPEN UNIVERSITY OF KENYA	BACHELOR OF BUSINESS AND ENTREPRENEURSHIP	21.375	-	MAT A(121)/MAT B(122):C			
BACHELOR OF REAL ESTATE									
1	1249300	JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY	BACHELOR OF REAL ESTATE	32.654	35.982	MAT A(121):C+			
2	1263300	UNIVERSITY OF NAIROBI	BACHELOR OF REAL ESTATE	33.529	36.881	MAT A(121):C+			
3	1111300	KENYATTA UNIVERSITY	BACHELOR OF SCIENCE (REAL ESTATE)	32.041	34.531	MAT A(121):C+			
4	1112300	TECHNICAL UNIVERSITY OF KENYA	BACHELOR OF TECHNOLOGY (PROPERTY MANAGEMENT AND REAL ESTATE)	29.49	33.889	MAT A(121):C+			
BACHELOR OF BUSINESS MANAGEMENT AND INFORMATION TECHNOLOGY									
1	1061301	KABARAK UNIVERSITY	BACHELOR OF BUSINESS MANAGEMENT AND INFORMATION TECHNOLOGY	21.375	21.444	MAT A(121)/MAT B(122):C			
BACHELOR OF ARTS (GENDER AND DEVELOPMENT STUDIES)									
1	1087302	KISII UNIVERSITY	BACHELOR OF ARTS (GENDER AND DEVELOPMENT STUDIES)	22.449	22.916				
2	1111302	KENYATTA UNIVERSITY	BACHELOR OF ARTS (GENDER AND DEVELOPMENT STUDIES)	22.449	24.943				
3	1263302	UNIVERSITY OF NAIROBI	BACHELOR OF ARTS (GENDER AND DEVELOPMENT STUDIES)	22.449	24.746				
4	1170302	MACHAKOS UNIVERSITY	BACHELOR OF ARTS (GENDER AND DEVELOPMENT)	22.449	22.916				
5	1166302	SOUTH EASTERN KENYA UNIVERSITY	BACHELOR OF ARTS (GENDER AND SOCIAL STUDIES)	22.449	22.916				
BACHELOR OF ARTS (DEVELOPMENT STUDIES, WITH IT)									
1	1229303	MASENO UNIVERSITY	BACHELOR OF ARTS (DEVELOPMENT STUDIES, WITH IT)	22.449	22.916				
2	1515303	TOM MBOYA UNIVERSITY	BACHELOR OF ARTS (DEVELOPMENT STUDIES, WITH IT)	22.449	22.916				
3	1066303	MANAGEMENT UNIVERSITY OF AFRICA	BACHELOR OF ARTS IN DEVELOPMENT STUDIES	22.449	22.916				
4	1087303	KISII UNIVERSITY	BACHELOR OF ARTS IN DEVELOPMENT STUDIES	22.449	22.916				
5	1114303	UNIVERSITY OF ELDORET	BACHELOR OF ARTS IN DEVELOPMENT STUDIES	-	-				
6	1119303	AFRICA INTERNATIONAL UNIVERSITY	BACHELOR OF ARTS IN DEVELOPMENT STUDIES	22.449	22.916				
7	1181303	UNIVERSITY OF EASTERN AFRICA, BARATON	BACHELOR OF ARTS IN DEVELOPMENT STUDIES	22.449	22.916				
8	1480303	CATHOLIC UNIVERSITY OF EASTERN AFRICA	BACHELOR OF ARTS IN DEVELOPMENT STUDIES	22.449	22.916				
9	1080303	CO-OPERATIVE UNIVERSITY OF KENYA	BACHELOR OF DEVELOPMENT STUDIES	-	-				
10	1249303	JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY	BACHELOR OF DEVELOPMENT STUDIES	22.449	27.072				
11	1279303	MOUNT KENYA UNIVERSITY	BACHELOR OF DEVELOPMENT STUDIES	22.449	22.916				
12	1570303	TURKANA UNIVERSITY COLLEGE	BACHELOR OF DEVELOPMENT STUDIES	22.449	22.916				
13	1063303	TECHNICAL UNIVERSITY OF MOMBASA	BACHELOR OF ARTS IN DEVELOPMENT STUDIES	22.449	22.916				
14	1246303	MURANG'A UNIVERSITY OF TECHNOLOGY	BACHELOR OF DEVELOPMENT STUDIES WITH IT	22.449	22.916				
BACHELOR OF SCIENCE (MATHEMATICS & COMPUTER SCIENCE)									
1	1111309	KENYATTA UNIVERSITY	BACHELOR OF SCIENCE (MATHEMATICS & COMPUTER SCIENCE)	35.087	35.002	MAT A(121):C+	PHY(232):C+	ENG(101)/KIS(102):C	
2	1229309	MASENO UNIVERSITY	BACHELOR OF SCIENCE (MATHEMATICS & COMPUTER SCIENCE)	24.314	18.638	MAT A(121):C+	PHY(232):C+	ENG(101)/KIS(102):C	
3	1240309	MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY	BACHELOR OF SCIENCE (MATHEMATICS & COMPUTER SCIENCE)	18.814	18.638	MAT A(121):C+	PHY(232):C+	ENG(101)/KIS(102):C	
4	1515309	TOM MBOYA UNIVERSITY	BACHELOR OF SCIENCE (MATHEMATICS & COMPUTER SCIENCE)	18.814	18.638	MAT A(121):C+	PHY(232):C+	ENG(101)/KIS(102):C	
5	1079309	KIRINYAGA UNIVERSITY	BACHELOR OF SCIENCE (MATHEMATICS AND COMPUTER	18.814	18.638	MAT A(121):C+	PHY(232):C+	ENG(101)/KIS(102):C	
