#	PROG CODE	INSTITUTION NAME	PROGRAMME NAME	CUTOFF - 2023	CUTOFF - 2022	SUBJECT 1	SUBJECT 2	SUBJECT 3	SUBJECT 4
9	1176292	LAIKIPIA UNIVERSITY	BACHELOR OF SCIENCE (GEOGRAPHY)	18.144	24.214	GEO(312):C+			
10	1105292	CHUKA UNIVERSITY	BACHELOR OF ARTS IN GEOGRAPHY AND ECONOMICS	22.56	27.87	GEO(312):C+			
BACHELOR OF SCIENCE (ANIMAL SCIENCE & MANAGEMENT)									
1	1114293	UNIVERSITY OF ELDORET	BACHELOR OF SCIENCE (ANIMAL SCIENCE & MANAGEMENT)	15.864	25.215	BIO(231):C+	MAT A(121)/PHY(232)/CHE(233):		
2	1253293	MOI UNIVERSITY	BACHELOR OF SCIENCE (ANIMAL SCIENCE & MANAGEMENT)	15.864	25.033	BIO(231):C+	MAT A(121)/PHY(232)/CHE(233):		
3	1229293	MASENO UNIVERSITY	BACHELOR OF SCIENCE (ANIMAL SCIENCE, WITH IT)	15.864	25.008	BIO(231):C+	MAT A(121)/PHY(232)/CHE(233):		
4	1053293	JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY	BACHELOR OF SCIENCE (ANIMAL SCIENCE)	15.864	22.851	BIO(231):C+	MAT A(121)/PHY(232)/CHE(233): C+		
5	1057293	EGERTON UNIVERSITY	BACHELOR OF SCIENCE (ANIMAL SCIENCE)	15.864	21.653	BIO(231):C+	MAT A(121)/PHY(232)/CHE(233):		
6	1105293	CHUKA UNIVERSITY	BACHELOR OF SCIENCE (ANIMAL SCIENCE)	15.864	23.727	BIO(231):C+	MAT A(121)/PHY(232)/CHE(233):		
7	1087293	KISII UNIVERSITY	BACHELOR OF SCIENCE IN ANIMAL SCIENCE	15.864	17.043	BIO(231):C+	MAT A(121)/PHY(232)/CHE(233):		
8	1244293	KARATINA UNIVERSITY	BACHELOR OF SCIENCE IN ANIMAL SCIENCE	15.864	17.043	BIO(231):C+	MAT A(121)/PHY(232)/CHE(233):		
9	1685293	THARAKA UNIVERSITY	BACHELOR OF SCIENCE IN ANIMAL SCIENCE	15.864	17.043	BIO(231):C+	MAT A(121)/PHY(232)/CHE(233):		
BACHELOR OF SCIENCE (ANIMAL HEALTH & PRODUCTION)									
1	1165294	MAASAI MARA UNIVERSITY	BACHELOR OF SCIENCE (ANIMAL HEALTH & PRODUCTION)	15.864	27.403	BIO(231):C+	CHE(233)/MAT A(121)/PHY(232):C+		
2	1240294	MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY	BACHELOR OF SCIENCE (ANIMAL HEALTH AND PRODUCTION)	24.972	25.625	BIO(231):C+	CHE(233)/MAT A(121)/PHY(232):C+		
BACHELOR OF ARTS (INTERNATIONAL RELATIONS AND DIPLOMACY ,WITH IT)									
1	1229295	MASENO UNIVERSITY	BACHELOR OF ARTS (INTERNATIONAL RELATIONS AND DIPLOMACY ,WITH IT)	24.178	28.666	ENG(101)/KIS(102):C+			
