#	PROG CODE	INSTITUTION NAME	PROGRAMME NAME	CUTOFF - 2023	CUTOFF - 2022	SUBJECT 1	SUBJECT 2	SUBJECT 3	SUBJECT 4
2	1111295	KENYATTA UNIVERSITY	BACHELOR OF ARTS (INTERNATIONAL RELATIONS AND DIPLOMACY)	-	-	ENG(101)/KIS(102):C+			
3	1112295	TECHNICAL UNIVERSITY OF KENYA	BACHELOR OF ARTS (INTERNATIONAL RELATIONS AND DIPLOMACY)	34.222	34.267	ENG(101)/KIS(102):C+			
4	1060295	RIARA UNIVERSITY	BACHELOR OF ARTS IN INTERNATIONAL RELATIONS AND DIPLOMACY	32.245	35.45	ENG(101)/KIS(102):C+			
5	1279295	MOUNT KENYA UNIVERSITY	BACHELOR OF ARTS IN INTERNATIONAL RELATIONS AND DIPLOMACY	-	-	ENG(101)/KIS(102):C+			
BACHELOR OF ARTS IN INTERNATIONAL RELATIONS									
1	1073295	RONGO UNIVERSITY	BACHELOR OF ARTS IN INTERNATIONAL RELATIONS	22.449	27.008	ENG(101)/KIS(102):C+			
2	1077296	KENYA METHODIST UNIVERSITY	BACHELOR OF ARTS IN INTERNATIONAL RELATIONS	22.449	22.916	ENG(101)/KIS(102):C+			
3	1162307	DAYSTAR UNIVERSITY	BACHELOR OF ARTS IN INTERNATIONAL RELATIONS	22.449	27.41	ENG(101)/KIS(102):C+			
4	1279296	MOUNT KENYA UNIVERSITY	BACHELOR OF ARTS IN INTERNATIONAL RELATIONS	26.341	30.052	ENG(101)/KIS(102):C+			
5	1480296	CATHOLIC UNIVERSITY OF EASTERN AFRICA	BACHELOR OF ARTS IN INTERNATIONAL RELATIONS	22.449	22.916	ENG(101)/KIS(102):C+			
6	1425296	ZETECH UNIVERSITY	BACHELOR OF ARTS IN INTERNATIONAL RELATIONS AND DIPLOMACY	22.449	22.916	ENG(101)/KIS(102):C+			
7	1263296	UNIVERSITY OF NAIROBI	BACHELOR OF ARTS IN INTERNATIONAL STUDIES	32.167	34.361	ENG(101)/KIS(102):C+			
BACHELOR OF ENTREPRENEURSHIP									
1	1249298	JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY	BACHELOR OF ENTREPRENEURSHIP	21.375	21.444	MAT A(121)/MAT B(122):C			
2	1246298	MURANG'A UNIVERSITY OF TECHNOLOGY	BACHELOR OF SCIENCE (ENTREPRENEURSHIP AND SMALL ENTERPRISES MANAGEMENT)	21.375	21.444	MAT A(121)/MAT B(122):C			
3	1080297	CO-OPERATIVE UNIVERSITY OF KENYA	BACHELOR OF SCIENCE IN ENTREPRENEURSHIP	21.375	21.444	MAT A(121)/MAT B(122):C			
4	1685298	THARAKA UNIVERSITY	BACHELOR OF ENTREPRENEURSHIP AND ENTERPRISE MANAGEMENT	21.375	21.444	MAT A(121)/MAT B(122):C			
5	1057298	EGERTON UNIVERSITY	BACHELOR OF ENTREPRENEURSHIP AND SMALL BUSINESS MANAGEMENT	21.375	21.444	MAT A(121)/MAT B(122):C			
