#	PROG CODE	INSTITUTION NAME	PROGRAMME NAME	CUTOFF - 2023	CUTOFF - 2022	SUBJECT 1	SUBJECT 2	SUBJECT 3	SUBJECT 4
BACHELOR OF SCIENCE (MINING PHYSICS)									
1	1249147	JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY	BACHELOR OF SCIENCE GENOMIC SCIENCE	15.683	16.974	MAT A(121):C	BIO(231):C+	CHE(233):C	
BACHELOR OF SCIENCE IN MATERIALS AND METALLURGICAL ENGINEERING									
1	1249E55	JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY	BACHELOR OF SCIENCE IN MATERIALS AND METALLURGICAL ENGINEERING	15.683	15.982	MAT A(121):C+	PHY(232):C+	CHE(233):C+	ENG(101)/KIS(102):C+
BACHELOR OF TECHNOLOGY IN HOSPITALITY MANAGEMENT									
1	1063225	TECHNICAL UNIVERSITY OF MOMBASA	BACHELOR OF TECHNOLOGY IN HOSPITALITY MANAGEMENT	21.375	23.636				
BACHELOR OF SCIENCE IN MIDWIFERY WITH REPRODUCTIVE HEALTH									
1	4275631	AMREF INTERNATIONAL UNIVERSITY	BACHELOR OF SCIENCE IN MIDWIFERY WITH REPRODUCTIVE HEALTH	26.82	24.886	BIO(231):C+	CHE(233):C+	MAT A(121)/PHY(232):C+	ENG(101)/KIS(102):C+
BACHELOR OF ENGINEERING (MANUFACTURING, INDUSTRIAL AND TEXTILE ENGINEERING)									
1	1253600	MOI UNIVERSITY	BACHELOR OF ENGINEERING (MANUFACTURING, INDUSTRIAL AND TEXTILE ENGINEERING)	15.683	15.982	MAT A(121):C+	PHY(232):C+	CHE(233):C+	ENG(101)/KIS(102):C+
BACHELOR OF SCIENCE (WATER RESOURCES AND ENVIRONMENT MANAGEMENT)									
1	1053486	JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY	BACHELOR OF SCIENCE (WATER RESOURCES AND ENVIRONMENT MANAGEMENT)	15.864	17.043	BIO(231)/AGR(443):C+	CHE(233):C	MAT A(121)/PHY(232)/GEO(312):C	
BACHELOR OF SCIENCE (DISASTER PREPAREDNESS AND ENVIRONMENTALTECHNOLOGY)									
1	1082844	MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY	BACHELOR OF SCIENCE (DISASTER PREPAREDNESS AND ENVIRONMENTALTECHNOLOGY)	22.449	22.916				
BACHELOR OF ARTS (DISASTER MANAGEMENT AND PEACE STUDIES)									
1	1082369	MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY	BACHELOR OF ARTS (DISASTER MANAGEMENT AND PEACE STUDIES)	22.449	22.916				
BACHELOR OF ARTS (SOCIOLOGY & RELIGIOUS STUDIES)									
1	1057B87	EGERTON UNIVERSITY	BACHELOR OF ARTS (SOCIOLOGY & RELIGIOUS STUDIES)	20.93	19.67	CRE(313)/IRE(314)/HRE(31 5):C+	ENG(101)/KIS(102):C		
2	1165B87	MAASAI MARA UNIVERSITY	BACHELOR OF ARTS IN RELIGION	20.93	-	CRE(313)/IRE(314)/HRE(31 5):C+	ENG(101)/KIS(102):C		
BACHELOR OF SCIENCE IN AGRICULTURAL ECONOMICS AND RURAL DEVELOPMENT									
