#	PROG CODE	INSTITUTION NAME	PROGRAMME NAME	CUTOFF - 2023	CUTOFF - 2022	SUBJECT 1	SUBJECT 2	SUBJECT 3	SUBJECT 4
BACHELOR OF SCIENCE (MINING PHYSICS)									
1	1105C28	CHUKA UNIVERSITY	BACHELOR OF SCIENCE (MINING PHYSICS)	15.683	17.363	MAT A(121):C+	PHY(232):C+	GEO(312)/CHE(233):C	
BACHELOR OF ENGINEERING PHYSICS									
1	1105C29	CHUKA UNIVERSITY	BACHELOR OF ENGINEERING PHYSICS	15.683	15.982	MAT A(121):C	PHY(232):C	CHE(233):C	
BACHELOR OF SCIENCE IN MATHEMATICS AND STATISTICS WITH IT									
1	1570C35	TURKANA UNIVERSITY COLLEGE	BACHELOR OF SCIENCE IN MATHEMATICS AND STATISTICS WITH IT	18.831	19.914	MAT A(121):C+	ENG(101)/KIS(102):C		
BACHELOR OF SCIENCE IN INFORMATION SYSTEMS AND KNOWLEDGE MANAGEMENT									
1	1082C36	MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY	BACHELOR OF SCIENCE IN INFORMATION SYSTEMS AND KNOWLEDGE MANAGEMENT	-	21.444	MAT A(121)/MAT B(122):C			
2	1470C36	KAIMOSI FRIENDS UNIVERSITY	BACHELOR OF SCIENCE IN INFORMATION SYSTEMS AND KNOWLEDGE MANAGEMENT	-	21.444	MAT A(121)/MAT B(122):C			
BACHELOR OF ARTS IN CHAPLAINCY									
1	1061C81	KABARAK UNIVERSITY	BACHELOR OF ARTS IN CHAPLAINCY	20.93	19.67	CRE(313)/IRE(314)/HRE(31 5):C+	ENG(101)/KIS(102):C		
BACHELOR OF SCIENCE IN APPLIED STATISTICS AND DATA SCIENCE									
1	1080C82	CO-OPERATIVE UNIVERSITY OF KENYA	BACHELOR OF SCIENCE IN APPLIED STATISTICS AND DATA SCIENCE	18.814	18.638	MAT A(121):C+	PHY(232):C	ENG(101)/KIS(102):C	
BACHELOR OF EDUCATION SCIENCE									
1	1079138	KIRINYAGA UNIVERSITY	BACHELOR OF EDUCATION SCIENCE	28.513	24.063	BIO(231)/PHY(232)/CHE(23 3)/MAT A(121):C+	BIO(231)/PHY(232)/CHE(23 3)/MAT A(121):C+		
2	1425138	ZETECH UNIVERSITY	BACHELOR OF EDUCATION SCIENCE	-	-	BIO(231)/PHY(232)/CHE(23 3)/MAT A(121):C+	BIO(231)/PHY(232)/CHE(23 3)/MAT A(121):C+		
BACHELOR OF ECONOMICS AND MATHEMATICS									
1	1079E46	KIRINYAGA UNIVERSITY	BACHELOR OF ECONOMICS AND MATHEMATICS	18.831	-	MAT A(121):C+	ENG(101)/KIS(102):C		
BACHELOR OF ANIMATION AND GRAPHICS DESIGN									
1	1164E47	MULTIMEDIA UNIVERSITY OF KENYA	BACHELOR OF ANIMATION AND GRAPHICS DESIGN	-	-	ENG(101)/KIS(102):C+			
BACHELOR OF SCIENCE GENOMIC SCIENCE									
