#	PROG CODE	INSTITUTION NAME	PROGRAMME NAME	CUTOFF - 2023	CUTOFF - 2022	SUBJECT 1	SUBJECT 2	SUBJECT 3	SUBJECT 4
6	1091309	TAITA TAVETA UNIVERSITY	BACHELOR OF SCIENCE (MATHEMATICS AND COMPUTER	18.814	18.638	MAT A(121):C+	PHY(232):C+	ENG(101)/KIS(102):C	
7	1246309	MURANG'A UNIVERSITY OF TECHNOLOGY	BACHELOR OF SCIENCE (MATHEMATICS AND COMPUTER SCIENCE)	18.814	18.638	MAT A(121):C+	PHY(232):C+	ENG(101)/KIS(102):C	
8	1580309	KENYATTA UNIVERSITY - MAMA NGINA UNIVERSITY COLLEGE	BACHELOR OF SCIENCE (MATHEMATICS AND COMPUTER SCIENCE)	18.814	18.638	MAT A(121):C+	PHY(232):C+	ENG(101)/KIS(102):C	
9	1063309	TECHNICAL UNIVERSITY OF MOMBASA	BACHELOR OF SCIENCE IN MATHEMATICS & COMPUTER SCIENCE	18.814	18.638	MAT A(121):C+	PHY(232):C+	ENG(101)/KIS(102):C	
10	1077309	KENYA METHODIST UNIVERSITY	BACHELOR OF SCIENCE IN MATHEMATICS AND COMPUTER SCIENCE	-	18.638	MAT A(121):C+	PHY(232):C+	ENG(101)/KIS(102):C	
11	1164309	MULTIMEDIA UNIVERSITY OF KENYA	BACHELOR OF SCIENCE IN MATHEMATICS AND COMPUTER SCIENCE	28.885	28.053	MAT A(121):C+	PHY(232):C+	ENG(101)/KIS(102):C	
12	1249309	JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY	BACHELOR OF SCIENCE IN MATHEMATICS AND COMPUTER SCIENCE	36.724	36.477	MAT A(121):C+	PHY(232):C+	ENG(101)/KIS(102):C	
13	1425309	ZETECH UNIVERSITY	BACHELOR OF SCIENCE IN COMPUTER SCIENCE AND MATHEMATICS	18.814	18.638	MAT A(121):C+	PHY(232):C+	ENG(101)/KIS(102):C	
14	1170309	MACHAKOS UNIVERSITY	BACHELOR OF SCIENCE MATHEMATICS AND COMPUTER	18.814	18.638	MAT A(121):C+	PHY(232):C+	ENG(101)/KIS(102):C	
BACHELOR OF EDUCATION ARTS (HOME ECONOMICS)									
1	1111310	KENYATTA UNIVERSITY	BACHELOR OF EDUCATION ARTS (HOME ECONOMICS)	27.429	30.475	HAG(311)/GEO(312)/CRE(3 13)/IRE(314)/HRE(315)/SEE (316)/ENG(101)/KIS(102)/ MAT A(121)/MAT B(122)/HSC(441)/ARD(442) /CMP(451)/FRE(501)/GER( 502)/ARB(503)/KSL(504)/M UC(511)/ACC(561)/COM(5 62)/BST(565):C+	HAG(311)/GEO(312)/CRE(3 13)/IRE(314)/HRE(315)/SEE( 316)/ENG(101)/KIS(102)/M AT A(121)/MAT B(122)/HSC(441)/ARD(442) /CMP(451)/FRE(501)/GER(5 02)/ARB(503)/KSL(504)/MU C(511)/ACC(561)/COM(562 )/BST(565):C+		
BACHELOR OF SCIENCE (INDUSTRIAL MATHEMATICS)									
1	1249311	JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY	BACHELOR OF SCIENCE (INDUSTRIAL MATHEMATICS)	18.831	19.914	MAT A(121):C+			
