#	PROG CODE	INSTITUTION NAME	PROGRAMME NAME	CUTOFF - 2023	CUTOFF - 2022	SUBJECT 1	SUBJECT 2	SUBJECT 3	SUBJECT 4
10	1279591	MOUNT KENYA UNIVERSITY	BACHELOR OF SCIENCE IN CLINICAL MEDICINE AND COMMUNITY HEALTH	41.517	39.558	BIO(231):C+	CHE(233):C+	MAT A(121)/PHY(232):C+	ENG(101)/KIS(102):C+
11	1470560	KAIMOSI FRIENDS UNIVERSITY	BACHELOR OF SCIENCE IN CLINICAL MEDICINE AND COMMUNITY HEALTH	39.734	39.476	BIO(231):C+	CHE(233):C+	MAT A(121)/PHY(232):C+	ENG(101)/KIS(102):C+
12	1244560	KARATINA UNIVERSITY	BACHELOR OF SCIENCE IN CLINICAL MEDICINE	39.734	-	BIO(231):C+	CHE(233):C+	MAT A(121)/PHY(232):C+	ENG(101)/KIS(102):C+
13	1192560	GREAT LAKES UNIVERSITY OF KISUMU	BACHELOR OF SCIENCE CLINICAL MEDICINE AND COMMUNITY HEALTH	34.408	29.194	BIO(231):C+	CHE(233):C+	MAT A(121)/PHY(232):C+	ENG(101)/KIS(102):C+
BACHELOR OF SCIENCE (PHYSICAL THERAPY)									
1	1253561	MOI UNIVERSITY	BACHELOR OF SCIENCE (PHYSICAL THERAPY)	36.681	36.954	BIO(231):C+	CHE(233):C+	MAT A(121)/PHY(232):C+	ENG(101)/KIS(102):C+
2	1600561	ALUPE UNIVERSITY	BACHELOR OF SCIENCE (PHYSICAL THERAPY)	28.214	31.878	BIO(231):C+	CHE(233):C+	MAT A(121)/PHY(232):C+	ENG(101)/KIS(102):C+
BACHELOR OF RADIOGRAPHY									
1	1249562	JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY	BACHELOR OF RADIOGRAPHY	43.325	43.127	BIO(231):C+	CHE(233):C+	MAT A(121)/PHY(232):C+	ENG(101)/KIS(102):C+
BACHELOR OF SCIENCE (APPLIED BIOENGINEERING)									
1	1249563	JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY	BACHELOR OF SCIENCE (APPLIED BIOENGINEERING)	27.294	15.982	MAT A(121):C	PHY(232):C	CHE(233):C	
BACHELOR OF SCIENCE (COASTAL & MARINE RESOURCE MANAGEMENT									
1	1111565	KENYATTA UNIVERSITY	BACHELOR OF SCIENCE (COASTAL & MARINE RESOURCE MANAGEMENT	15.864	17.043	BIO(231):C	CHE(233):C		
2	1117565	PWANI UNIVERSITY	BACHELOR OF SCIENCE (MARINE BIOLOGY & FISHERIES)	15.864	17.043	BIO(231):C	CHE(233):C		
3	1063565	TECHNICAL UNIVERSITY OF MOMBASA	BACHELOR OF SCIENCE IN MARINE RESOURCE MANAGEMENT	15.864	17.043	BIO(231):C	CHE(233):C		
BACHELOR OF SCIENCE (POPULATION HEALTH)									
1	1111566	KENYATTA UNIVERSITY	BACHELOR OF SCIENCE (POPULATION HEALTH)	25.6	34.642	BIO(231):C	CHE(233):C	MAT A(121)/PHY(232):C	ENG(101)/KIS(102):C
