#	PROG CODE	INSTITUTION NAME	PROGRAMME NAME	CUTOFF - 2023	CUTOFF - 2022	SUBJECT 1	SUBJECT 2	SUBJECT 3	SUBJECT 4
1	1053511	JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY	BACHELOR OF SCIENCE (COMPUTER SECURITY AND FORENSICS)	18.814	18.638	MAT A(121):C+	PHY(232):C+	ENG(101)/KIS(102):C	
2	1061511	KABARAK UNIVERSITY	BACHELOR OF SCIENCE IN COMPUTER SECURITY AND	18.814	18.638	MAT A(121):C+	PHY(232):C+	ENG(101)/KIS(102):C	
3	1082511	MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY	BACHELOR OF SCIENCE IN COMPUTER SECURITY AND FORENSICS	-	-	MAT A(121):C+	PHY(232):C+	ENG(101)/KIS(102):C	
4	1240511	MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY	BACHELOR OF SCIENCE IN COMPUTER SECURITY AND FORENSICS	18.814	18.638	MAT A(121):C+	PHY(232):C+	ENG(101)/KIS(102):C	
5	1246511	MURANG'A UNIVERSITY OF TECHNOLOGY	BACHELOR OF SCIENCE IN COMPUTER SECURITY AND FORENSICS	-	-	MAT A(121):C+	PHY(232):C+	ENG(101)/KIS(102):C	
6	1103511	KCA UNIVERSITY	BACHELOR OF SCIENCE IN INFORMATION SECURITY AND FORENSICS	18.814	18.638	MAT A(121):C+	PHY(232):C+	ENG(101)/KIS(102):C	
7	1170511	MACHAKOS UNIVERSITY	BACHELOR OF SCIENCE (CLOUD COMPUTING AND INFORMATION SECURITY)	25.586	18.638	MAT A(121):C+	PHY(232):C+	ENG(101)/KIS(102):C	
8	5145511	OPEN UNIVERSITY OF KENYA	BACHELOR OF SCIENCE IN CYBER SECURITY AND DIGITAL FORENSICS	18.814	-	MAT A(121):C+	PHY(232):C+	ENG(101)/KIS(102):C	
9	1093511	UNIVERSITY OF EMBU	BACHELOR OF SCIENCE IN CYBER SECURITY	-	-	MAT A(121):C+	PHY(232):C+	ENG(101)/KIS(102):C	
BACHELOR OF SCIENCE (RENEWABLE ENERGY AND ENVIRONMENTAL PHYSICS)									
1	1249512	JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY	BACHELOR OF SCIENCE (RENEWABLE ENERGY AND ENVIRONMENTAL PHYSICS)	15.683	15.982	MAT A(121):C	PHY(232):C	CHE(233):C	
BACHELOR OF SCIENCE (CHEMISTRY)									
1	1073513	RONGO UNIVERSITY	BACHELOR OF SCIENCE (CHEMISTRY)	15.683	16.974	MAT A(121):C	CHE(233):C+		
2	1082513	MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY	BACHELOR OF SCIENCE (CHEMISTRY)	15.683	16.974	MAT A(121):C	CHE(233):C+		
3	1108513	KIBABII UNIVERSITY	BACHELOR OF SCIENCE (CHEMISTRY)	15.683	16.974	MAT A(121):C	CHE(233):C+		
4	1117513	PWANI UNIVERSITY	BACHELOR OF SCIENCE (CHEMISTRY)	15.683	16.974	MAT A(121):C	CHE(233):C+		
5	1165513	MAASAI MARA UNIVERSITY	BACHELOR OF SCIENCE (CHEMISTRY)	15.683	16.974	MAT A(121):C	CHE(233):C+		
