program_normalized_name	course_suffix	offerings_count
BACHELOR OF SCIENCE (PUBLIC ADMINISTRATION AND LEADERSHIP)	149	1
BACHELOR OF SCIENCE (PUBLIC HEALTH, WITH IT)	732	16
BACHELOR OF SCIENCE (PUBLIC MANAGEMENT AND DEVELOPMENT)	259	2
BACHELOR OF SCIENCE (RANGE MANAGEMENT)	125	1
BACHELOR OF SCIENCE (RECORDS MANAGEMENT AND INFORMATION TECHNOLOGY)	148	2
BACHELOR OF SCIENCE (RECREATION AND SPORTS MANAGEMENT)	571	1
BACHELOR OF SCIENCE (RENEWABLE ENERGY AND BIOFUELS TECHNOLOGY)	526	1
BACHELOR OF SCIENCE (RENEWABLE ENERGY AND ENVIRONMENTAL PHYSICS)	512	1
BACHELOR OF SCIENCE (RENEWABLE ENERGY TECHNOLOGY AND MANAGEMENT)	626	1
BACHELOR OF SCIENCE (RENEWABLE ENERGY)	525	1
BACHELOR OF SCIENCE (SEED SCIENCE & TECHNOLOGY	355	1
BACHELOR OF SCIENCE (SOIL SCIENCE)	479	1
BACHELOR OF SCIENCE (SOILS & LAND USE MANAGEMENT)	357	1
BACHELOR OF SCIENCE (STATISTICS)	163	10
BACHELOR OF SCIENCE (STRATEGIC MANAGEMENT)	493	2
BACHELOR OF SCIENCE (SUGAR AND AGRO PROCESSING TECHNOLOGY)	367	1
BACHELOR OF SCIENCE (TELECOMMUNICATION & INFORM. TECH)	197	4
BACHELOR OF SCIENCE (TOURISM MANAGEMENT)	157	11
BACHELOR OF SCIENCE (URBAN DESIGN AND DEVELOPMENT)	665	1
BACHELOR OF SCIENCE (UTILIZATION & SUSTAINABILITY OF ARID LANDS (USAL)	582	1
BACHELOR OF SCIENCE (WATER AND ENVIRONMENT MANAGEMENT)	489	1
BACHELOR OF SCIENCE (WATER AND ENVIRONMENTAL ENGINEERING)	764	1
BACHELOR OF SCIENCE (WATER AND ENVIRONMENTAL ENGINEERING)	964	1
BACHELOR OF SCIENCE (WATER RESOURCE MANAGEMENT)	488	2
BACHELOR OF SCIENCE (WATER RESOURCES AND ENVIRONMENT MANAGEMENT)	486	1
BACHELOR OF SCIENCE (WILDLIFE ENTERPRISE MANAGEMENT)	142	3
BACHELOR OF SCIENCE (WILDLIFE MANAGEMENT)	143	2
BACHELOR OF SCIENCE (WOOD SCIENCE AND INDUSTRIAL PROCESSES)	141	1
BACHELOR OF SCIENCE (ZOOLOGY)	464	3
BACHELOR OF SCIENCE AGRIBUSINESS MANAGEMENT AND ENTERPRISE DEVELOPMENT	787	2
BACHELOR OF SCIENCE CHEMISTRY ( INORGANIC, PHYSICAL AND ORGANIC OPTIONS)	079	1
BACHELOR OF SCIENCE CHEMISTRY ( INORGANIC, PHYSICAL AND ORGANIC OPTIONS)	779	1
BACHELOR OF SCIENCE CLINICAL MEDICINE	560	13
BACHELOR OF SCIENCE GENOMIC SCIENCE	147	1
BACHELOR OF SCIENCE IN ACCOUNTING	654	3
BACHELOR OF SCIENCE IN AGRIBUSINESS ECONOMICS AND FOOD INDUSTRY MANAGEMENT	954	1
BACHELOR OF SCIENCE IN AGRIBUSINESS MANAGEMENT AND ENTERPRISE DEVELOPMENT	685	1
BACHELOR OF SCIENCE IN AGRIBUSINESS MANAGEMENT AND MARKETING	256	3
BACHELOR OF SCIENCE IN AGRIBUSINESS MANAGEMENT AND TRADE	258	1
BACHELOR OF SCIENCE IN AGRICULTURAL ECONOMICS AND RURAL DEVELOPMENT	675	1
BACHELOR OF SCIENCE IN AGRICULTURE AND EXTENSION	724	1
BACHELOR OF SCIENCE IN ANIMAL HEALTH MANAGEMENT	689	1
BACHELOR OF SCIENCE IN ANIMAL PRODUCTS TECHNOLOGY	693	1
BACHELOR OF SCIENCE IN ANIMAL SCIENCE	771	1
BACHELOR OF SCIENCE IN APPLIED ANIMAL LABORATORY SCIENCE	358	1
BACHELOR OF SCIENCE IN APPLIED OPTICS AND LASERS	567	1
BACHELOR OF SCIENCE IN APPLIED PHYSICS	498	1
BACHELOR OF SCIENCE IN APPLIED PHYSICS AND COMPUTER SCIENCE	416	1
BACHELOR OF SCIENCE IN APPLIED PHYSICS AND COMPUTER SCIENCE	498	1
BACHELOR OF SCIENCE IN APPLIED STATISTICS AND DATA SCIENCE	082	1
BACHELOR OF SCIENCE IN AUTOMOTIVE TECHNOLOGY	283	1
BACHELOR OF SCIENCE IN AVIATION MANAGEMENT	125	1
BACHELOR OF SCIENCE IN BIOMEDICAL SCIENCE	172	2
BACHELOR OF SCIENCE IN BIOSAFETY AND BIOSECURITY	266	1
BACHELOR OF SCIENCE IN BIOTECHNOLOGY AND BIOSAFETY	359	1
BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION	205	1
BACHELOR OF SCIENCE IN BUSINESS INNOVATION AND TECHNOLOGY MANAGEMENT	214	2
BACHELOR OF SCIENCE IN COMMUNITY HEALTH EDUCATION	260	1
BACHELOR OF SCIENCE IN COMMUNITY RESOURCE MANAGEMENT	386	2
BACHELOR OF SCIENCE IN COMPUTER INFORMATION SYSTEMS	768	1
BACHELOR OF SCIENCE IN COMPUTING AND INFORMATION SYSTEMS	614	1
BACHELOR OF SCIENCE IN DENTAL TECHNOLOGY	455	1
BACHELOR OF SCIENCE IN DISASTER MANAGEMENT	429	1
BACHELOR OF SCIENCE IN ECO-TOURISM, HOTEL AND INSTITUTION MANAGEMENT	952	1
BACHELOR OF SCIENCE IN ELECTRONICS	506	1
BACHELOR OF SCIENCE IN EMPLOYMENT AND LABOUR STUDIES	520	1
BACHELOR OF SCIENCE IN ENERGY AND ENVIRONMENTAL TECHNOLOGY	514	1
BACHELOR OF SCIENCE IN ENTOMOLOGY AND PARASITOLOGY	360	1
BACHELOR OF SCIENCE IN ENVIRONMENT, LANDS AND SUSTAINABLE INFRASTRUCTURE	174	1
BACHELOR OF SCIENCE IN ENVIRONMENTAL HEALTH SCIENCES (PUBLIC HEALTH)	530	1
BACHELOR OF SCIENCE IN EPIDEMIOLOGY AND BIOSTATISTICS	637	2
BACHELOR OF SCIENCE IN ETHNOBOTANY	356	1
BACHELOR OF SCIENCE IN FASHION AND TEXTILE DESIGN	126	1
BACHELOR OF SCIENCE IN FINANCE AND STATISTICS	677	1
BACHELOR OF SCIENCE IN FINANCIAL ECONOMICS	334	5
BACHELOR OF SCIENCE IN FISHERIES AND AQUACULTURE	518	4
BACHELOR OF SCIENCE IN FISHERIES AND AQUACULTURE	519	3
BACHELOR OF SCIENCE IN FISHERIES AND OCEANOGGRAPHY	531	1
BACHELOR OF SCIENCE IN FORESTRY ECOSYSTEM MANAGEMENT	389	2
BACHELOR OF SCIENCE IN GAMING AND ANIMATION TECHNOLOGY	355	1
BACHELOR OF SCIENCE IN GEOMATICS AND GEOSPATIAL INFORMATION SYSTEMS	619	4
BACHELOR OF SCIENCE IN GLOBAL HEALTH AND TRAVEL MEDICINE	546	1
BACHELOR OF SCIENCE IN HEALTH INFORMATICS	678	1
BACHELOR OF SCIENCE IN HEALTH RECORDS AND INFORMATION TECHNOLOGY	681	5
BACHELOR OF SCIENCE IN HEALTH SYSTEMS MANAGEMENT	657	10
BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT	224	6
BACHELOR OF SCIENCE IN HOTEL AND HOSPITALITY MANAGEMENT	128	1
BACHELOR OF SCIENCE IN INFORMATION SYSTEMS AND KNOWLEDGE MANAGEMENT	036	1
BACHELOR OF SCIENCE IN INFORMATION SYSTEMS AND KNOWLEDGE MANAGEMENT	236	1
BACHELOR OF SCIENCE IN INTERNATIONAL BUSINESS MANAGEMENT	647	2
BACHELOR OF SCIENCE IN LABORATORY SCIENCES	194	1
BACHELOR OF SCIENCE IN LABORATORY SCIENCES	694	1
BACHELOR OF SCIENCE IN LABORATORY TECHNOLOGY	209	1
BACHELOR OF SCIENCE IN LEATHER TECHNOLOGY	460	1
BACHELOR OF SCIENCE IN MARITIME MANAGEMENT (COMMERCIAL)	548	3
BACHELOR OF SCIENCE IN MATERIALS AND METALLURGICAL ENGINEERING	955	1
BACHELOR OF SCIENCE IN MATHEMATICS ( PURE MATHEMATICS, APPLIED MATHEMATICS AND STATISTICS)	709	4
BACHELOR OF SCIENCE IN MATHEMATICS AND FINANCE	584	1
BACHELOR OF SCIENCE IN MATHEMATICS AND STATISTICS WITH IT	035	1
BACHELOR OF SCIENCE IN MECHANICAL AND MANUFACTURING ENGINEERING	212	1
BACHELOR OF SCIENCE IN MECHATRONIC ENGINEERING	240	3
BACHELOR OF SCIENCE IN MICROBIOLOGY	279	1
BACHELOR OF SCIENCE IN MIDWIFERY WITH REPRODUCTIVE HEALTH	631	1
BACHELOR OF SCIENCE IN MOLECULAR BIOLOGY AND FORENSIC TECHNOLOGY	439	1
BACHELOR OF SCIENCE IN NETWORKS AND COMMUNICATION SYSTEMS	471	1
BACHELOR OF SCIENCE IN NUTRITION AND DIETETICS	202	5
BACHELOR OF SCIENCE IN ORAL HEALTH	218	1
BACHELOR OF SCIENCE IN PARKS, RECREATION AND LEISURE MANAGEMENT	341	1
BACHELOR OF SCIENCE IN PROCUREMENT AND CONTRACT MANAGEMENT	245	1
BACHELOR OF SCIENCE IN RANGELAND ECOSYSTEM MANAGEMENT	167	1
BACHELOR OF SCIENCE IN REAL ESTATE MANAGEMENT	683	1
BACHELOR OF SCIENCE IN RENEWABLE ENERGY AND TECHNOLOGY	627	3
BACHELOR OF SCIENCE IN SOFTWARE ENGINEERING	542	8
BACHELOR OF SCIENCE IN SOIL ENVIRONMENT & LAND USE MANAGEMENT)	765	1
BACHELOR OF SCIENCE IN STATISTICS & COMPUTER SCIENCE	856	1
BACHELOR OF SCIENCE IN STATISTICS AND PROGRAMMING	163	1
BACHELOR OF SCIENCE IN STATISTICS AND PROGRAMMING	664	1
BACHELOR OF SCIENCE IN TELECOMMUNICATION	707	2
BACHELOR OF SCIENCE IN TRAVEL AND TOURISM MANAGEMENT	684	3
BACHELOR OF SCIENCE INDUSTRIAL BIOTECHNOLOGY	728	1
BACHELOR OF SCIENCE WITH EDUCATION	418	3
BACHELOR OF SCIENCE(AEROSPACE ENGINEERING)	573	2
BACHELOR OF SCIENCE(BUSINESS INFORMATION SYSTEMS)	554	1
BACHELOR OF SCIENCE(CONSTRUCTION MANAGEMENT)	776	2
BACHELOR OF SCIENCE(FOOD SECURITY)	483	1
BACHELOR OF SECRETARIAL MANAGEMENT AND ADMINISTRATION	152	1
BACHELOR OF SECURITY SCIENCE AND MANAGEMENT	668	1
BACHELOR OF SOCIAL WORK	145	3
BACHELOR OF SOCIAL WORK AND ADMINISTRATION	685	2
BACHELOR OF SPORTS MANAGEMENT	435	2
BACHELOR OF TECHNOLOGY (APPLIED BIOLOGY)	474	1
BACHELOR OF TECHNOLOGY (APPLIED STATISTICS)	475	1
BACHELOR OF TECHNOLOGY (BIOTECHNOLOGY)	227	1
BACHELOR OF TECHNOLOGY (BUILDING CONSTRUCTION)	376	4
BACHELOR OF TECHNOLOGY (BUSINESS INFORMATION TECHNOLOGY)	384	1
BACHELOR OF TECHNOLOGY (CHEMICAL ENGINEERING)	699	1
BACHELOR OF TECHNOLOGY (CIVIL ENGINEERING TECHNOLOGY)	532	3
BACHELOR OF TECHNOLOGY (COMMUNICATION AND COMPUTER NETWORKS)	476	1
BACHELOR OF TECHNOLOGY (COMPUTER TECHNOLOGY)	266	1
BACHELOR OF TECHNOLOGY (CONSTRUCTION MANAGEMENT)	676	1
BACHELOR OF TECHNOLOGY (DESIGN)	372	1
BACHELOR OF TECHNOLOGY (ELECTRICAL AND ELECTRONIC ENGINEERING TECHNOLOGY)	527	4
BACHELOR OF TECHNOLOGY (ENVIRONMENTAL RESOURCE MANAGEMENT)	467	1
BACHELOR OF TECHNOLOGY (GEOINFORMATION TECHNOLOGY)	378	1
BACHELOR OF TECHNOLOGY (HOTEL AND RESTAURANT MANAGEMENT)	382	1
BACHELOR OF TECHNOLOGY (INDUSTRIAL AND APPLIED CHEMISTRY)	425	1
BACHELOR OF TECHNOLOGY (INSTITUTIONAL MANAGEMENT)	470	1
BACHELOR OF TECHNOLOGY (JOURNALISM AND MASS COMMUNICATION)	400	1
BACHELOR OF TECHNOLOGY (MECHANICAL ENGINEERING TECHNOLOGY)	535	5
BACHELOR OF TECHNOLOGY (MEDICAL LABORATORY SCIENCE)	194	1
BACHELOR OF TECHNOLOGY (MEDICAL LABORATORY SCIENCE)	383	1
BACHELOR OF TECHNOLOGY (NUTRITION AND DIETETICS)	381	1
BACHELOR OF TECHNOLOGY (OFFICE ADMINISTRATION AND TECHNOLOGY)	468	1
BACHELOR OF TECHNOLOGY (PRINTING TECHNOLOGY)	277	1
BACHELOR OF TECHNOLOGY (TECHNICAL AND APPLIED PHYSICS)	424	2
BACHELOR OF TECHNOLOGY (TELECOMMUNICATION AND INFORMATION ENGINEERING)	289	1
BACHELOR OF TECHNOLOGY EDUCATION	192	2
BACHELOR OF TECHNOLOGY IN APPLIED CHEMISTRY (ANALYTICAL AND INDUSTRIAL OPTIONS)	426	1
BACHELOR OF TECHNOLOGY IN APPLIED PHYSICS (ELECTRONICS & INSTRUMENTATION)	376	1
BACHELOR OF TECHNOLOGY IN COMPUTER AND ELECTRONIC SYSTEMS	220	1
BACHELOR OF TECHNOLOGY IN COSMETOLOGY AND BEAUTY SCIENCE	274	1
BACHELOR OF TECHNOLOGY IN ELECTRICAL AND COMPUTER ENGINEERING	978	1
BACHELOR OF TECHNOLOGY IN HOSPITALITY MANAGEMENT	225	1
BACHELOR OF TECHNOLOGY IN INDUSTRIAL MICROBIOLOGY & BIOTECHNOLOGY	280	1
BACHELOR OF TECHNOLOGY IN INSTRUMENTATION & CONTROL ENGINEERING	927	1
BACHELOR OF TECHNOLOGY IN MARINE ENGINEERING	537	1
BACHELOR OF TECHNOLOGY IN MECHANICAL VENTILATION AND AIR CONDITIONING	139	1
BACHELOR OF TECHNOLOGY IN MEDICAL ENGINEERING	534	2
BACHELOR OF TECHNOLOGY IN RENEWABLE ENERGY	981	1
BACHELOR OF TECHNOLOGY IN RENEWABLE ENERGY & ENVIRONMENTAL PHYSICS	380	1
BACHELOR OF TECHNOLOGY IN WATER, IRRIGATION AND ENVIRONMENTAL ENGINEERING	173	1
BACHELOR OF TECHNOLOGY IN WATER, SANITATION AND HABITAT ENGINEERING	919	1
BACHELOR OF THE BUILT ENVIRONMENT (URBAN AND REGIONAL PLANNING)	472	1
BACHELOR OF TRAVEL & TOURS OPERATIONS MANAGEMENT	234	4
BACHELOR OF URBAN AND REGIONAL PLANNING	340	1
BACHELOR OF VETERINARY MEDICINE	130	2
