code,name,alias,region,county,country,website
1530,MARIST INTERNATIONAL UNIVERSITY COLLEGE,MIUC,Nairobi,Nairobi,Kenya,https://www.miuc.ac.ke
1555,KENYA ASSEMBLIES OF GOD EAST UNIVERSITY,KAGEU,Nairobi,Nairobi,Kenya,
1570,TURKANA UNIVERSITY COLLEGE,TUC,Rift Valley,Turkana,Kenya,https://tuc.ac.ke
1580,KENYATTA UNIVERSITY - MAMA NGINA UNIVERSITY COLLEGE,KU,Central,Kiambu,Kenya,https://www.ku.ac.ke
1600,ALUPE UNIVERSITY,AU,Western,Busia,Kenya,https://au.ac.ke
1685,THARAKA UNIVERSITY,TU,Eastern,Tharaka-Nithi,Kenya,
1700,BOMET UNIVERSITY COLLEGE,BUC,Rift Valley,Bomet,Kenya,
3890,KOITALEEL SAMOEI UNIVERSITY COLLEGE,KSUC,Rift Valley,Nandi,Kenya,https://ksu.ac.ke
3895,ISLAMIC UNIVERSITY OF KENYA,IUK,Rift Valley,Kajiado,Kenya,https://iuk.ac.ke
4275,AMREF INTERNATIONAL UNIVERSITY,AMIU,Central,Kiambu,Kenya,https://amref.ac.ke
5145,OPEN UNIVERSITY OF KENYA,OUK,Eastern,Machakos,Kenya,https://ouk.ac.ke
