institution_code,institution_name,normalized_name,level,campus,rows_count,program_codes,name_variants,suggested_master_program_code
1105,CHUKA UNIVERSITY,BACHELOR OF PROCUREMENT AND LOGISTICS MANAGEMENT,bachelor,,2,1105250|1105250,BACHELOR OF PROCUREMENT AND LOGISTICS MANAGEMENT,1105250
1112,TECHNICAL UNIVERSITY OF KENYA,BACHELOR OF LIBRARY & INFORMATION SCIENCE,bachelor,,2,1112233|1112233,BACHELOR OF SCIENCE (INFORMATION STUDIES)|BACHELOR OF TECHNOLOGY (INFORMATION STUDIES),1112233
1170,MACHAKOS UNIVERSITY,BACHELOR OF ENVIRONMENTAL SCIENCE,bachelor,,2,1170213|1170213,BACHELOR OF ENVIRONMENTAL SCIENCE|BACHELOR OF ENVIRONMENTAL STUDIES (COMMUNITY DEVELOPMENT),1170213
1249,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,BACHELOR OF SCIENCE IN FISHERIES AND AQUACULTURE,bachelor,,2,1249518|1249519,BACHELOR OF SCIENCE IN AQUACULTURE TECHNOLOGY|BACHELOR OF SCIENCE IN FISHERIES AND AQUACULTURE,1249518
