institution_code,institution_name,normalized_name,level,campus,suppressed_program_code,master_program_code
1170,MACHAKOS UNIVERSITY,BACHELOR OF ENVIRONMENTAL SCIENCE,bachelor,,1170213,1170213
1112,TECHNICAL UNIVERSITY OF KENYA,BACHELOR OF LIBRARY & INFORMATION SCIENCE,bachelor,,1112233,1112233
1105,CHUKA UNIVERSITY,BACHELOR OF PROCUREMENT AND LOGISTICS MANAGEMENT,bachelor,,1105250,1105250
1249,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,BACHELOR OF SCIENCE IN FISHERIES AND AQUACULTURE,bachelor,,1249519,1249518
