source_index	institution_code	institution_name	field_name	program_code	course_suffix	name	normalized_name	level	campus	region	duration_years	award	mode	subject_requirements_json
2	1112	TECHNICAL UNIVERSITY OF KENYA	Built Environment & Construction	1112103	103	BACHELOR OF QUANTITY SURVEYING	BACHELOR OF QUANTITY SURVEYING	bachelor		Nairobi				"{""required"": [{""subject"": ""MAT"", ""code"": ""121"", ""min_grade"": ""C+""}, {""subject"": ""PHY"", ""code"": ""232"", ""min_grade"": ""C+""}], ""groups"": [{""pick"": 1, ""options"": [{""subject"": ""ENG"", ""code"": ""101"", ""min_grade"": ""C+""}, {""subject"": ""KIS"", ""code"": ""102"", ""min_grade"": ""C+""}]}]}"
3	1249	JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY	Built Environment & Construction	1249103	103	BACHELOR OF QUANTITY SURVEYING	BACHELOR OF QUANTITY SURVEYING	bachelor		Central				"{""required"": [{""subject"": ""MAT"", ""code"": ""121"", ""min_grade"": ""C+""}, {""subject"": ""PHY"", ""code"": ""232"", ""min_grade"": ""C+""}], ""groups"": [{""pick"": 1, ""options"": [{""subject"": ""ENG"", ""code"": ""101"", ""min_grade"": ""C+""}, {""subject"": ""KIS"", ""code"": ""102"", ""min_grade"": ""C+""}]}]}"
4	1263	UNIVERSITY OF NAIROBI	Built Environment & Construction	1263103	103	BACHELOR OF QUANTITY SURVEYING	BACHELOR OF QUANTITY SURVEYING	bachelor		Nairobi				"{""required"": [{""subject"": ""MAT"", ""code"": ""121"", ""min_grade"": ""C+""}, {""subject"": ""PHY"", ""code"": ""232"", ""min_grade"": ""C+""}], ""groups"": [{""pick"": 1, ""options"": [{""subject"": ""ENG"", ""code"": ""101"", ""min_grade"": ""C+""}, {""subject"": ""KIS"", ""code"": ""102"", ""min_grade"": ""C+""}]}]}"
1	1263	UNIVERSITY OF NAIROBI	Arts & Humanities	1263105	105	BACHELOR OF ARTS (DESIGN)	BACHELOR OF ARTS (DESIGN)	bachelor		Nairobi				"{""required"": [{""subject"": ""MAT"", ""code"": ""121"", ""min_grade"": ""C+""}, {""subject"": ""PHY"", ""code"": ""232"", ""min_grade"": ""C+""}]}"
1	1263	UNIVERSITY OF NAIROBI	Arts & Humanities	1263106	106	BACHELOR OF ARTS (ANTHROPOLOGY)	BACHELOR OF ARTS (ANTHROPOLOGY)	bachelor		Nairobi				
2	1117	PWANI UNIVERSITY	Arts & Humanities	1117106	106	BACHELOR OF ARTS IN ANTHROPOLOGY	BACHELOR OF ARTS (ANTHROPOLOGY)	bachelor		Coast				
3	1480	CATHOLIC UNIVERSITY OF EASTERN AFRICA	Arts & Humanities	1480106	106	BACHELOR OF ARTS IN ANTHROPOLOGY	BACHELOR OF ARTS (ANTHROPOLOGY)	bachelor		Nairobi				
1	1087	KISII UNIVERSITY	Mathematics & Statistics	1087107	107	BACHELOR OF ACTUARIAL SCIENCE	BACHELOR OF ACTUARIAL SCIENCE	bachelor		Nyanza				"{""required"": [{""subject"": ""MAT"", ""code"": ""121"", ""min_grade"": ""C+""}]}"
2	1103	KCA UNIVERSITY	Mathematics & Statistics	1103107	107	BACHELOR OF ACTUARIAL SCIENCE	BACHELOR OF ACTUARIAL SCIENCE	bachelor		Nairobi				"{""required"": [{""subject"": ""MAT"", ""code"": ""121"", ""min_grade"": ""C+""}]}"
3	1685	THARAKA UNIVERSITY	Mathematics & Statistics	1685107	107	BACHELOR OF ACTUARIAL SCIENCE	BACHELOR OF ACTUARIAL SCIENCE	bachelor		Eastern				"{""required"": [{""subject"": ""MAT"", ""code"": ""121"", ""min_grade"": ""C+""}]}"
4	1053	JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY	Mathematics & Statistics	1053107	107	BACHELOR OF SCIENCE (ACTUARIAL SCIENCE WITH IT)	BACHELOR OF ACTUARIAL SCIENCE	bachelor		Nyanza				"{""required"": [{""subject"": ""MAT"", ""code"": ""121"", ""min_grade"": ""C+""}]}"
5	1229	MASENO UNIVERSITY	Mathematics & Statistics	1229107	107	BACHELOR OF SCIENCE (ACTUARIAL SCIENCE, WITH IT)	BACHELOR OF ACTUARIAL SCIENCE	bachelor		Nyanza				"{""required"": [{""subject"": ""MAT"", ""code"": ""121"", ""min_grade"": ""C+""}]}"
6	1515	TOM MBOYA UNIVERSITY	Mathematics & Statistics	1515107	107	BACHELOR OF SCIENCE (ACTUARIAL SCIENCE, WITH IT)	BACHELOR OF ACTUARIAL SCIENCE	bachelor		Nyanza				"{""required"": [{""subject"": ""MAT"", ""code"": ""121"", ""min_grade"": ""C+""}]}"
7	1057	EGERTON UNIVERSITY	Mathematics & Statistics	1057107	107	BACHELOR OF SCIENCE (ACTUARIAL SCIENCE)	BACHELOR OF ACTUARIAL SCIENCE	bachelor		Rift Valley				"{""required"": [{""subject"": ""MAT"", ""code"": ""121"", ""min_grade"": ""C+""}]}"
8	1096	GARISSA UNIVERSITY	Mathematics & Statistics	1096107	107	BACHELOR OF SCIENCE (ACTUARIAL SCIENCE)	BACHELOR OF ACTUARIAL SCIENCE	bachelor		North Eastern				"{""required"": [{""subject"": ""MAT"", ""code"": ""121"", ""min_grade"": ""C+""}]}"
9	1111	KENYATTA UNIVERSITY	Mathematics & Statistics	1111107	107	BACHELOR OF SCIENCE (ACTUARIAL SCIENCE)	BACHELOR OF ACTUARIAL SCIENCE	bachelor		Nairobi				"{""required"": [{""subject"": ""MAT"", ""code"": ""121"", ""min_grade"": ""C+""}]}"
10	1118	UNIVERSITY OF KABIANGA	Mathematics & Statistics	1118107	107	BACHELOR OF SCIENCE (ACTUARIAL SCIENCE)	BACHELOR OF ACTUARIAL SCIENCE	bachelor		Rift Valley				"{""required"": [{""subject"": ""MAT"", ""code"": ""121"", ""min_grade"": ""C+""}]}"
11	1166	SOUTH EASTERN KENYA UNIVERSITY	Mathematics & Statistics	1166107	107	BACHELOR OF SCIENCE (ACTUARIAL SCIENCE)	BACHELOR OF ACTUARIAL SCIENCE	bachelor		Eastern				"{""required"": [{""subject"": ""MAT"", ""code"": ""121"", ""min_grade"": ""C+""}]}"
12	1170	MACHAKOS UNIVERSITY	Mathematics & Statistics	1170107	107	BACHELOR OF SCIENCE (ACTUARIAL SCIENCE)	BACHELOR OF ACTUARIAL SCIENCE	bachelor		Eastern				"{""required"": [{""subject"": ""MAT"", ""code"": ""121"", ""min_grade"": ""C+""}]}"
13	1240	MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY	Mathematics & Statistics	1240107	107	BACHELOR OF SCIENCE (ACTUARIAL SCIENCE)	BACHELOR OF ACTUARIAL SCIENCE	bachelor		Eastern				"{""required"": [{""subject"": ""MAT"", ""code"": ""121"", ""min_grade"": ""C+""}]}"
14	1253	MOI UNIVERSITY	Mathematics & Statistics	1253107	107	BACHELOR OF SCIENCE (ACTUARIAL SCIENCE)	BACHELOR OF ACTUARIAL SCIENCE	bachelor		Rift Valley				"{""required"": [{""subject"": ""MAT"", ""code"": ""121"", ""min_grade"": ""C+""}]}"
15	1263	UNIVERSITY OF NAIROBI	Mathematics & Statistics	1263107	107	BACHELOR OF SCIENCE (ACTUARIAL SCIENCE)	BACHELOR OF ACTUARIAL SCIENCE	bachelor		Nairobi				"{""required"": [{""subject"": ""MAT"", ""code"": ""121"", ""min_grade"": ""C+""}]}"
16	1061	KABARAK UNIVERSITY	Mathematics & Statistics	1061107	107	BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE	BACHELOR OF ACTUARIAL SCIENCE	bachelor		Rift Valley				"{""required"": [{""subject"": ""MAT"", ""code"": ""121"", ""min_grade"": ""C+""}]}"
17	1079	KIRINYAGA UNIVERSITY	Mathematics & Statistics	1079107	107	BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE	BACHELOR OF ACTUARIAL SCIENCE	bachelor		Central				"{""required"": [{""subject"": ""MAT"", ""code"": ""121"", ""min_grade"": ""C+""}]}"
18	1080	CO-OPERATIVE UNIVERSITY OF KENYA	Mathematics & Statistics	1080107	107	BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE	BACHELOR OF ACTUARIAL SCIENCE	bachelor		Nairobi				"{""required"": [{""subject"": ""MAT"", ""code"": ""121"", ""min_grade"": ""C+""}]}"
19	1093	UNIVERSITY OF EMBU	Mathematics & Statistics	1093107	107	BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE	BACHELOR OF ACTUARIAL SCIENCE	bachelor		Eastern				"{""required"": [{""subject"": ""MAT"", ""code"": ""121"", ""min_grade"": ""C+""}]}"
20	1105	CHUKA UNIVERSITY	Mathematics & Statistics	1105107	107	BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE	BACHELOR OF ACTUARIAL SCIENCE	bachelor		Eastern				"{""required"": [{""subject"": ""MAT"", ""code"": ""121"", ""min_grade"": ""C+""}]}"
21	1114	UNIVERSITY OF ELDORET	Mathematics & Statistics	1114107	107	BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE	BACHELOR OF ACTUARIAL SCIENCE	bachelor		Rift Valley				"{""required"": [{""subject"": ""MAT"", ""code"": ""121"", ""min_grade"": ""C+""}]}"
