field_slug,field_name,occupation_code,occupation_title,score,keywords,sample_programs
built-environment-construction,Built Environment & Construction,41-9022.00,Real Estate Sales Agents,8.000,environment built building construction quantity surveying real estate urban regional,BACHELOR OF TECHNOLOGY (BUILDING CONSTRUCTION) | BACHELOR OF QUANTITY SURVEYING | BACHELOR OF REAL ESTATE | BACHELOR OF URBAN AND REGIONAL PLANNING
built-environment-construction,Built Environment & Construction,47-4011.00,Construction and Building Inspectors,7.000,environment built building construction quantity surveying real estate urban regional,BACHELOR OF TECHNOLOGY (BUILDING CONSTRUCTION) | BACHELOR OF QUANTITY SURVEYING | BACHELOR OF REAL ESTATE | BACHELOR OF URBAN AND REGIONAL PLANNING
built-environment-construction,Built Environment & Construction,19-3051.00,Urban and Regional Planners,6.000,environment built building construction quantity surveying real estate urban regional,BACHELOR OF TECHNOLOGY (BUILDING CONSTRUCTION) | BACHELOR OF QUANTITY SURVEYING | BACHELOR OF REAL ESTATE | BACHELOR OF URBAN AND REGIONAL PLANNING
business-management,Business & Management,13-1082.00,Project Management Specialists,8.000,management business commerce hospitality tourism human hotel agri procurement project analytical chemistry entreprenuership small animal natural purchasing supplies logistics supply chain eco-tourism institution environmental agribusiness,BACHELOR OF COMMERCE | BACHELOR OF BUSINESS AND MANAGEMENT | BACHELOR OF HUMAN RESOURCE MANAGEMENT | BACHELOR OF SCIENCE (AGRI BUSINESS MANAGEMENT) | BACHELOR OF PROJECT PLANNING AND MANAGEMENT | BACHELOR OF SCIENCE (ANALYTICAL CHEMISTRY WITH MANAGEMENT) | BACHELOR OF ENTREPRENUERSHIP & SMALL BUSINESS MANAGEMENT | BACHELOR OF HOSPITALITY AND TOURISM MANAGEMENT | BACHELOR OF SCIENCE (TOURISM MANAGEMENT) | BACHELOR OF SCIENCE IN HEALTH SYSTEMS MANAGEMENT
business-management,Business & Management,11-3071.04,Supply Chain Managers,7.000,management business commerce hospitality tourism human hotel agri procurement project analytical chemistry entreprenuership small animal natural purchasing supplies logistics supply chain eco-tourism institution environmental agribusiness,BACHELOR OF COMMERCE | BACHELOR OF BUSINESS AND MANAGEMENT | BACHELOR OF HUMAN RESOURCE MANAGEMENT | BACHELOR OF SCIENCE (AGRI BUSINESS MANAGEMENT) | BACHELOR OF PROJECT PLANNING AND MANAGEMENT | BACHELOR OF SCIENCE (ANALYTICAL CHEMISTRY WITH MANAGEMENT) | BACHELOR OF ENTREPRENUERSHIP & SMALL BUSINESS MANAGEMENT | BACHELOR OF HOSPITALITY AND TOURISM MANAGEMENT | BACHELOR OF SCIENCE (TOURISM MANAGEMENT) | BACHELOR OF SCIENCE IN HEALTH SYSTEMS MANAGEMENT
business-management,Business & Management,25-1011.00,"Business Teachers, Postsecondary",6.000,management business commerce hospitality tourism human hotel agri procurement project analytical chemistry entreprenuership small animal natural purchasing supplies logistics supply chain eco-tourism institution environmental agribusiness,BACHELOR OF COMMERCE | BACHELOR OF BUSINESS AND MANAGEMENT | BACHELOR OF HUMAN RESOURCE MANAGEMENT | BACHELOR OF SCIENCE (AGRI BUSINESS MANAGEMENT) | BACHELOR OF PROJECT PLANNING AND MANAGEMENT | BACHELOR OF SCIENCE (ANALYTICAL CHEMISTRY WITH MANAGEMENT) | BACHELOR OF ENTREPRENUERSHIP & SMALL BUSINESS MANAGEMENT | BACHELOR OF HOSPITALITY AND TOURISM MANAGEMENT | BACHELOR OF SCIENCE (TOURISM MANAGEMENT) | BACHELOR OF SCIENCE IN HEALTH SYSTEMS MANAGEMENT
communication-media,Communication & Media,27-3099.00,"Media and Communication Workers, All Other",8.000,media communication journalism relations mass telecommunication inform tech film animation broadcast graphic advertising,BACHELOR OF COMMUNICATION AND PUBLIC RELATIONS | BACHELOR OF JOURNALISM & MASS COMMUNICATION | BACHELOR OF COMMUNICATION & JOURNALISM | BACHELOR OF INFORMATION COMMUNICATION TECHNOLOGY | BACHELOR OF SCIENCE (TELECOMMUNICATION & INFORM. TECH) | BACHELOR OF COMMUNICATION AND MEDIA STUDIES | BACHELOR OF JOURNALISM | BACHELOR OF APPLIED COMMUNICATION | BACHELOR OF FILM AND ANIMATION STUDIES | BACHELOR OF SCIENCE IN TELECOMMUNICATION
communication-media,Communication & Media,27-4099.00,"Media and Communication Equipment Workers, All Other",8.000,media communication journalism relations mass telecommunication inform tech film animation broadcast graphic advertising,BACHELOR OF COMMUNICATION AND PUBLIC RELATIONS | BACHELOR OF JOURNALISM & MASS COMMUNICATION | BACHELOR OF COMMUNICATION & JOURNALISM | BACHELOR OF INFORMATION COMMUNICATION TECHNOLOGY | BACHELOR OF SCIENCE (TELECOMMUNICATION & INFORM. TECH) | BACHELOR OF COMMUNICATION AND MEDIA STUDIES | BACHELOR OF JOURNALISM | BACHELOR OF APPLIED COMMUNICATION | BACHELOR OF FILM AND ANIMATION STUDIES | BACHELOR OF SCIENCE IN TELECOMMUNICATION
computing-it,Computing & IT,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,8.000,it computer computing mathematics statistics security forensics software electronic data electrical,BACHELOR OF SCIENCE (COMPUTER SCIENCE | BACHELOR OF SCIENCE ( APPLIED STATISTICS WITH COMPUTING) | BACHELOR OF SCIENCE (MATHEMATICS & COMPUTER SCIENCE) | BACHELOR OF SCIENCE (COMPUTER SECURITY AND FORENSICS) | BACHELOR OF SCIENCE IN SOFTWARE ENGINEERING | BACHELOR OF SCIENCE (APPLIED COMPUTER SCIENCE) | BACHELOR OF SCIENCE (COMPUTER TECHNOLOGY) | BACHELOR OF SCIENCE (ELECTRONIC AND COMPUTER ENGINEERING) | BACHELOR OF SCIENCE (MATHEMATICS AND COMPUTING) | BACHELOR OF TECHNOLOGY (COMPUTER TECHNOLOGY)
computing-it,Computing & IT,51-2022.00,Electrical and Electronic Equipment Assemblers,8.000,it computer computing mathematics statistics security forensics software electronic data electrical,BACHELOR OF SCIENCE (COMPUTER SCIENCE | BACHELOR OF SCIENCE ( APPLIED STATISTICS WITH COMPUTING) | BACHELOR OF SCIENCE (MATHEMATICS & COMPUTER SCIENCE) | BACHELOR OF SCIENCE (COMPUTER SECURITY AND FORENSICS) | BACHELOR OF SCIENCE IN SOFTWARE ENGINEERING | BACHELOR OF SCIENCE (APPLIED COMPUTER SCIENCE) | BACHELOR OF SCIENCE (COMPUTER TECHNOLOGY) | BACHELOR OF SCIENCE (ELECTRONIC AND COMPUTER ENGINEERING) | BACHELOR OF SCIENCE (MATHEMATICS AND COMPUTING) | BACHELOR OF TECHNOLOGY (COMPUTER TECHNOLOGY)
