field_slug,field_name,occupation_code,occupation_title,score,keywords,sample_programs
education,Education,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",10.000,education early childhood special needs primary home physical music french secondary option christian ict library sports guidance counseling,"BACHELOR OF EDUCATION (SCIENCE, WITH IT) | BACHELOR OF EDUCATION (EARLY CHILDHOOD DEVELOPMENT) | BACHELOR OF EDUCATION (SPECIAL NEEDS EDUCATION, WITH IT) | BACHELOR OF EDUCATION (EARLY CHILDHOOD & PRIMARY EDUCATION) | BACHELOR OF EDUCATION (HOME SCIENCE AND TECHNOLOGY) | BACHELOR OF EDUCATION (PHYSICAL EDUCATION) | BACHELOR OF EDUCATION (TECHNOLOGY EDUCATION) | BACHELOR OF SCIENCE WITH EDUCATION | BACHELOR OF EDUCATION (FRENCH, WITH IT) | BACHELOR OF EDUCATION (SPECIAL NEEDS EDUCATION - SECONDARY OPTION)"
education,Education,25-2059.01,Adapted Physical Education Specialists,9.000,education early childhood special needs primary home physical music french secondary option christian ict library sports guidance counseling,"BACHELOR OF EDUCATION (SCIENCE, WITH IT) | BACHELOR OF EDUCATION (EARLY CHILDHOOD DEVELOPMENT) | BACHELOR OF EDUCATION (SPECIAL NEEDS EDUCATION, WITH IT) | BACHELOR OF EDUCATION (EARLY CHILDHOOD & PRIMARY EDUCATION) | BACHELOR OF EDUCATION (HOME SCIENCE AND TECHNOLOGY) | BACHELOR OF EDUCATION (PHYSICAL EDUCATION) | BACHELOR OF EDUCATION (TECHNOLOGY EDUCATION) | BACHELOR OF SCIENCE WITH EDUCATION | BACHELOR OF EDUCATION (FRENCH, WITH IT) | BACHELOR OF EDUCATION (SPECIAL NEEDS EDUCATION - SECONDARY OPTION)"
education,Education,25-9043.00,"Teaching Assistants, Special Education",9.000,education early childhood special needs primary home physical music french secondary option christian ict library sports guidance counseling,"BACHELOR OF EDUCATION (SCIENCE, WITH IT) | BACHELOR OF EDUCATION (EARLY CHILDHOOD DEVELOPMENT) | BACHELOR OF EDUCATION (SPECIAL NEEDS EDUCATION, WITH IT) | BACHELOR OF EDUCATION (EARLY CHILDHOOD & PRIMARY EDUCATION) | BACHELOR OF EDUCATION (HOME SCIENCE AND TECHNOLOGY) | BACHELOR OF EDUCATION (PHYSICAL EDUCATION) | BACHELOR OF EDUCATION (TECHNOLOGY EDUCATION) | BACHELOR OF SCIENCE WITH EDUCATION | BACHELOR OF EDUCATION (FRENCH, WITH IT) | BACHELOR OF EDUCATION (SPECIAL NEEDS EDUCATION - SECONDARY OPTION)"
education,Education,25-2059.00,"Special Education Teachers, All Other",8.000,education early childhood special needs primary home physical music french secondary option christian ict library sports guidance counseling,"BACHELOR OF EDUCATION (SCIENCE, WITH IT) | BACHELOR OF EDUCATION (EARLY CHILDHOOD DEVELOPMENT) | BACHELOR OF EDUCATION (SPECIAL NEEDS EDUCATION, WITH IT) | BACHELOR OF EDUCATION (EARLY CHILDHOOD & PRIMARY EDUCATION) | BACHELOR OF EDUCATION (HOME SCIENCE AND TECHNOLOGY) | BACHELOR OF EDUCATION (PHYSICAL EDUCATION) | BACHELOR OF EDUCATION (TECHNOLOGY EDUCATION) | BACHELOR OF SCIENCE WITH EDUCATION | BACHELOR OF EDUCATION (FRENCH, WITH IT) | BACHELOR OF EDUCATION (SPECIAL NEEDS EDUCATION - SECONDARY OPTION)"
education,Education,11-9032.00,"Education Administrators, Kindergarten through Secondary",7.000,education early childhood special needs primary home physical music french secondary option christian ict library sports guidance counseling,"BACHELOR OF EDUCATION (SCIENCE, WITH IT) | BACHELOR OF EDUCATION (EARLY CHILDHOOD DEVELOPMENT) | BACHELOR OF EDUCATION (SPECIAL NEEDS EDUCATION, WITH IT) | BACHELOR OF EDUCATION (EARLY CHILDHOOD & PRIMARY EDUCATION) | BACHELOR OF EDUCATION (HOME SCIENCE AND TECHNOLOGY) | BACHELOR OF EDUCATION (PHYSICAL EDUCATION) | BACHELOR OF EDUCATION (TECHNOLOGY EDUCATION) | BACHELOR OF SCIENCE WITH EDUCATION | BACHELOR OF EDUCATION (FRENCH, WITH IT) | BACHELOR OF EDUCATION (SPECIAL NEEDS EDUCATION - SECONDARY OPTION)"
education,Education,25-2011.00,"Preschool Teachers, Except Special Education",7.000,education early childhood special needs primary home physical music french secondary option christian ict library sports guidance counseling,"BACHELOR OF EDUCATION (SCIENCE, WITH IT) | BACHELOR OF EDUCATION (EARLY CHILDHOOD DEVELOPMENT) | BACHELOR OF EDUCATION (SPECIAL NEEDS EDUCATION, WITH IT) | BACHELOR OF EDUCATION (EARLY CHILDHOOD & PRIMARY EDUCATION) | BACHELOR OF EDUCATION (HOME SCIENCE AND TECHNOLOGY) | BACHELOR OF EDUCATION (PHYSICAL EDUCATION) | BACHELOR OF EDUCATION (TECHNOLOGY EDUCATION) | BACHELOR OF SCIENCE WITH EDUCATION | BACHELOR OF EDUCATION (FRENCH, WITH IT) | BACHELOR OF EDUCATION (SPECIAL NEEDS EDUCATION - SECONDARY OPTION)"
education,Education,25-2032.00,"Career/Technical Education Teachers, Secondary School",7.000,education early childhood special needs primary home physical music french secondary option christian ict library sports guidance counseling,"BACHELOR OF EDUCATION (SCIENCE, WITH IT) | BACHELOR OF EDUCATION (EARLY CHILDHOOD DEVELOPMENT) | BACHELOR OF EDUCATION (SPECIAL NEEDS EDUCATION, WITH IT) | BACHELOR OF EDUCATION (EARLY CHILDHOOD & PRIMARY EDUCATION) | BACHELOR OF EDUCATION (HOME SCIENCE AND TECHNOLOGY) | BACHELOR OF EDUCATION (PHYSICAL EDUCATION) | BACHELOR OF EDUCATION (TECHNOLOGY EDUCATION) | BACHELOR OF SCIENCE WITH EDUCATION | BACHELOR OF EDUCATION (FRENCH, WITH IT) | BACHELOR OF EDUCATION (SPECIAL NEEDS EDUCATION - SECONDARY OPTION)"
education,Education,25-2051.00,"Special Education Teachers, Preschool",7.000,education early childhood special needs primary home physical music french secondary option christian ict library sports guidance counseling,"BACHELOR OF EDUCATION (SCIENCE, WITH IT) | BACHELOR OF EDUCATION (EARLY CHILDHOOD DEVELOPMENT) | BACHELOR OF EDUCATION (SPECIAL NEEDS EDUCATION, WITH IT) | BACHELOR OF EDUCATION (EARLY CHILDHOOD & PRIMARY EDUCATION) | BACHELOR OF EDUCATION (HOME SCIENCE AND TECHNOLOGY) | BACHELOR OF EDUCATION (PHYSICAL EDUCATION) | BACHELOR OF EDUCATION (TECHNOLOGY EDUCATION) | BACHELOR OF SCIENCE WITH EDUCATION | BACHELOR OF EDUCATION (FRENCH, WITH IT) | BACHELOR OF EDUCATION (SPECIAL NEEDS EDUCATION - SECONDARY OPTION)"
education,Education,25-2055.00,"Special Education Teachers, Kindergarten",7.000,education early childhood special needs primary home physical music french secondary option christian ict library sports guidance counseling,"BACHELOR OF EDUCATION (SCIENCE, WITH IT) | BACHELOR OF EDUCATION (EARLY CHILDHOOD DEVELOPMENT) | BACHELOR OF EDUCATION (SPECIAL NEEDS EDUCATION, WITH IT) | BACHELOR OF EDUCATION (EARLY CHILDHOOD & PRIMARY EDUCATION) | BACHELOR OF EDUCATION (HOME SCIENCE AND TECHNOLOGY) | BACHELOR OF EDUCATION (PHYSICAL EDUCATION) | BACHELOR OF EDUCATION (TECHNOLOGY EDUCATION) | BACHELOR OF SCIENCE WITH EDUCATION | BACHELOR OF EDUCATION (FRENCH, WITH IT) | BACHELOR OF EDUCATION (SPECIAL NEEDS EDUCATION - SECONDARY OPTION)"
education,Education,25-2056.00,"Special Education Teachers, Elementary School",7.000,education early childhood special needs primary home physical music french secondary option christian ict library sports guidance counseling,"BACHELOR OF EDUCATION (SCIENCE, WITH IT) | BACHELOR OF EDUCATION (EARLY CHILDHOOD DEVELOPMENT) | BACHELOR OF EDUCATION (SPECIAL NEEDS EDUCATION, WITH IT) | BACHELOR OF EDUCATION (EARLY CHILDHOOD & PRIMARY EDUCATION) | BACHELOR OF EDUCATION (HOME SCIENCE AND TECHNOLOGY) | BACHELOR OF EDUCATION (PHYSICAL EDUCATION) | BACHELOR OF EDUCATION (TECHNOLOGY EDUCATION) | BACHELOR OF SCIENCE WITH EDUCATION | BACHELOR OF EDUCATION (FRENCH, WITH IT) | BACHELOR OF EDUCATION (SPECIAL NEEDS EDUCATION - SECONDARY OPTION)"
education,Education,25-2057.00,"Special Education Teachers, Middle School",7.000,education early childhood special needs primary home physical music french secondary option christian ict library sports guidance counseling,"BACHELOR OF EDUCATION (SCIENCE, WITH IT) | BACHELOR OF EDUCATION (EARLY CHILDHOOD DEVELOPMENT) | BACHELOR OF EDUCATION (SPECIAL NEEDS EDUCATION, WITH IT) | BACHELOR OF EDUCATION (EARLY CHILDHOOD & PRIMARY EDUCATION) | BACHELOR OF EDUCATION (HOME SCIENCE AND TECHNOLOGY) | BACHELOR OF EDUCATION (PHYSICAL EDUCATION) | BACHELOR OF EDUCATION (TECHNOLOGY EDUCATION) | BACHELOR OF SCIENCE WITH EDUCATION | BACHELOR OF EDUCATION (FRENCH, WITH IT) | BACHELOR OF EDUCATION (SPECIAL NEEDS EDUCATION - SECONDARY OPTION)"
education,Education,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",7.000,education early childhood special needs primary home physical music french secondary option christian ict library sports guidance counseling,"BACHELOR OF EDUCATION (SCIENCE, WITH IT) | BACHELOR OF EDUCATION (EARLY CHILDHOOD DEVELOPMENT) | BACHELOR OF EDUCATION (SPECIAL NEEDS EDUCATION, WITH IT) | BACHELOR OF EDUCATION (EARLY CHILDHOOD & PRIMARY EDUCATION) | BACHELOR OF EDUCATION (HOME SCIENCE AND TECHNOLOGY) | BACHELOR OF EDUCATION (PHYSICAL EDUCATION) | BACHELOR OF EDUCATION (TECHNOLOGY EDUCATION) | BACHELOR OF SCIENCE WITH EDUCATION | BACHELOR OF EDUCATION (FRENCH, WITH IT) | BACHELOR OF EDUCATION (SPECIAL NEEDS EDUCATION - SECONDARY OPTION)"
education,Education,21-2021.00,"Directors, Religious Activities and Education",6.000,education early childhood special needs primary home physical music french secondary option christian ict library sports guidance counseling,"BACHELOR OF EDUCATION (SCIENCE, WITH IT) | BACHELOR OF EDUCATION (EARLY CHILDHOOD DEVELOPMENT) | BACHELOR OF EDUCATION (SPECIAL NEEDS EDUCATION, WITH IT) | BACHELOR OF EDUCATION (EARLY CHILDHOOD & PRIMARY EDUCATION) | BACHELOR OF EDUCATION (HOME SCIENCE AND TECHNOLOGY) | BACHELOR OF EDUCATION (PHYSICAL EDUCATION) | BACHELOR OF EDUCATION (TECHNOLOGY EDUCATION) | BACHELOR OF SCIENCE WITH EDUCATION | BACHELOR OF EDUCATION (FRENCH, WITH IT) | BACHELOR OF EDUCATION (SPECIAL NEEDS EDUCATION - SECONDARY OPTION)"
education,Education,25-1081.00,"Education Teachers, Postsecondary",6.000,education early childhood special needs primary home physical music french secondary option christian ict library sports guidance counseling,"BACHELOR OF EDUCATION (SCIENCE, WITH IT) | BACHELOR OF EDUCATION (EARLY CHILDHOOD DEVELOPMENT) | BACHELOR OF EDUCATION (SPECIAL NEEDS EDUCATION, WITH IT) | BACHELOR OF EDUCATION (EARLY CHILDHOOD & PRIMARY EDUCATION) | BACHELOR OF EDUCATION (HOME SCIENCE AND TECHNOLOGY) | BACHELOR OF EDUCATION (PHYSICAL EDUCATION) | BACHELOR OF EDUCATION (TECHNOLOGY EDUCATION) | BACHELOR OF SCIENCE WITH EDUCATION | BACHELOR OF EDUCATION (FRENCH, WITH IT) | BACHELOR OF EDUCATION (SPECIAL NEEDS EDUCATION - SECONDARY OPTION)"
education,Education,25-2012.00,"Kindergarten Teachers, Except Special Education",6.000,education early childhood special needs primary home physical music french secondary option christian ict library sports guidance counseling,"BACHELOR OF EDUCATION (SCIENCE, WITH IT) | BACHELOR OF EDUCATION (EARLY CHILDHOOD DEVELOPMENT) | BACHELOR OF EDUCATION (SPECIAL NEEDS EDUCATION, WITH IT) | BACHELOR OF EDUCATION (EARLY CHILDHOOD & PRIMARY EDUCATION) | BACHELOR OF EDUCATION (HOME SCIENCE AND TECHNOLOGY) | BACHELOR OF EDUCATION (PHYSICAL EDUCATION) | BACHELOR OF EDUCATION (TECHNOLOGY EDUCATION) | BACHELOR OF SCIENCE WITH EDUCATION | BACHELOR OF EDUCATION (FRENCH, WITH IT) | BACHELOR OF EDUCATION (SPECIAL NEEDS EDUCATION - SECONDARY OPTION)"
education,Education,25-2021.00,"Elementary School Teachers, Except Special Education",6.000,education early childhood special needs primary home physical music french secondary option christian ict library sports guidance counseling,"BACHELOR OF EDUCATION (SCIENCE, WITH IT) | BACHELOR OF EDUCATION (EARLY CHILDHOOD DEVELOPMENT) | BACHELOR OF EDUCATION (SPECIAL NEEDS EDUCATION, WITH IT) | BACHELOR OF EDUCATION (EARLY CHILDHOOD & PRIMARY EDUCATION) | BACHELOR OF EDUCATION (HOME SCIENCE AND TECHNOLOGY) | BACHELOR OF EDUCATION (PHYSICAL EDUCATION) | BACHELOR OF EDUCATION (TECHNOLOGY EDUCATION) | BACHELOR OF SCIENCE WITH EDUCATION | BACHELOR OF EDUCATION (FRENCH, WITH IT) | BACHELOR OF EDUCATION (SPECIAL NEEDS EDUCATION - SECONDARY OPTION)"
education,Education,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education",6.000,education early childhood special needs primary home physical music french secondary option christian ict library sports guidance counseling,"BACHELOR OF EDUCATION (SCIENCE, WITH IT) | BACHELOR OF EDUCATION (EARLY CHILDHOOD DEVELOPMENT) | BACHELOR OF EDUCATION (SPECIAL NEEDS EDUCATION, WITH IT) | BACHELOR OF EDUCATION (EARLY CHILDHOOD & PRIMARY EDUCATION) | BACHELOR OF EDUCATION (HOME SCIENCE AND TECHNOLOGY) | BACHELOR OF EDUCATION (PHYSICAL EDUCATION) | BACHELOR OF EDUCATION (TECHNOLOGY EDUCATION) | BACHELOR OF SCIENCE WITH EDUCATION | BACHELOR OF EDUCATION (FRENCH, WITH IT) | BACHELOR OF EDUCATION (SPECIAL NEEDS EDUCATION - SECONDARY OPTION)"
engineering,Engineering,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,12.000,engineering electrical civil mechanical industrial chemistry electronics biomedical electronic agricultural bio-systems chemical process structural financial mechatronic geospatial production mining mineral processing petroleum water environmental aerospace,"BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY, WITH IT) | BACHELOR OF ENGINEERING (CIVIL ENGINEERING) | BACHELOR OF SCIENCE (ELECTRICAL & ELECTRONICS ENGINEERING) | BACHELOR OF ENGINEERING (MECHANICAL ENGINEERING) | BACHELOR OF ENGINEERING (AGRICULTURAL & BIO-SYSTEMS ENGINEERING) | BACHELOR OF SCIENCE (BIOMEDICAL SCIENCE AND TECHNOLOGY) | BACHELOR OF TECHNOLOGY (MECHANICAL ENGINEERING TECHNOLOGY) | BACHELOR OF TECHNOLOGY (ELECTRICAL AND ELECTRONIC ENGINEERING TECHNOLOGY) | BACHELOR OF EDUCATION IN TECHNOLOGY (CIVIL ENGINEERING) | BACHELOR OF EDUCATION IN TECHNOLOGY (ELECTRICAL & ELECTRONIC ENGINEERING)"
engineering,Engineering,25-1032.00,"Engineering Teachers, Postsecondary",11.000,engineering electrical civil mechanical industrial chemistry electronics biomedical electronic agricultural bio-systems chemical process structural financial mechatronic geospatial production mining mineral processing petroleum water environmental aerospace,"BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY, WITH IT) | BACHELOR OF ENGINEERING (CIVIL ENGINEERING) | BACHELOR OF SCIENCE (ELECTRICAL & ELECTRONICS ENGINEERING) | BACHELOR OF ENGINEERING (MECHANICAL ENGINEERING) | BACHELOR OF ENGINEERING (AGRICULTURAL & BIO-SYSTEMS ENGINEERING) | BACHELOR OF SCIENCE (BIOMEDICAL SCIENCE AND TECHNOLOGY) | BACHELOR OF TECHNOLOGY (MECHANICAL ENGINEERING TECHNOLOGY) | BACHELOR OF TECHNOLOGY (ELECTRICAL AND ELECTRONIC ENGINEERING TECHNOLOGY) | BACHELOR OF EDUCATION IN TECHNOLOGY (CIVIL ENGINEERING) | BACHELOR OF EDUCATION IN TECHNOLOGY (ELECTRICAL & ELECTRONIC ENGINEERING)"
engineering,Engineering,49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",11.000,engineering electrical civil mechanical industrial chemistry electronics biomedical electronic agricultural bio-systems chemical process structural financial mechatronic geospatial production mining mineral processing petroleum water environmental aerospace,"BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY, WITH IT) | BACHELOR OF ENGINEERING (CIVIL ENGINEERING) | BACHELOR OF SCIENCE (ELECTRICAL & ELECTRONICS ENGINEERING) | BACHELOR OF ENGINEERING (MECHANICAL ENGINEERING) | BACHELOR OF ENGINEERING (AGRICULTURAL & BIO-SYSTEMS ENGINEERING) | BACHELOR OF SCIENCE (BIOMEDICAL SCIENCE AND TECHNOLOGY) | BACHELOR OF TECHNOLOGY (MECHANICAL ENGINEERING TECHNOLOGY) | BACHELOR OF TECHNOLOGY (ELECTRICAL AND ELECTRONIC ENGINEERING TECHNOLOGY) | BACHELOR OF EDUCATION IN TECHNOLOGY (CIVIL ENGINEERING) | BACHELOR OF EDUCATION IN TECHNOLOGY (ELECTRICAL & ELECTRONIC ENGINEERING)"
engineering,Engineering,17-3026.00,Industrial Engineering Technologists and Technicians,9.000,engineering electrical civil mechanical industrial chemistry electronics biomedical electronic agricultural bio-systems chemical process structural financial mechatronic geospatial production mining mineral processing petroleum water environmental aerospace,"BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY, WITH IT) | BACHELOR OF ENGINEERING (CIVIL ENGINEERING) | BACHELOR OF SCIENCE (ELECTRICAL & ELECTRONICS ENGINEERING) | BACHELOR OF ENGINEERING (MECHANICAL ENGINEERING) | BACHELOR OF ENGINEERING (AGRICULTURAL & BIO-SYSTEMS ENGINEERING) | BACHELOR OF SCIENCE (BIOMEDICAL SCIENCE AND TECHNOLOGY) | BACHELOR OF TECHNOLOGY (MECHANICAL ENGINEERING TECHNOLOGY) | BACHELOR OF TECHNOLOGY (ELECTRICAL AND ELECTRONIC ENGINEERING TECHNOLOGY) | BACHELOR OF EDUCATION IN TECHNOLOGY (CIVIL ENGINEERING) | BACHELOR OF EDUCATION IN TECHNOLOGY (ELECTRICAL & ELECTRONIC ENGINEERING)"
engineering,Engineering,17-3022.00,Civil Engineering Technologists and Technicians,8.000,engineering electrical civil mechanical industrial chemistry electronics biomedical electronic agricultural bio-systems chemical process structural financial mechatronic geospatial production mining mineral processing petroleum water environmental aerospace,"BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY, WITH IT) | BACHELOR OF ENGINEERING (CIVIL ENGINEERING) | BACHELOR OF SCIENCE (ELECTRICAL & ELECTRONICS ENGINEERING) | BACHELOR OF ENGINEERING (MECHANICAL ENGINEERING) | BACHELOR OF ENGINEERING (AGRICULTURAL & BIO-SYSTEMS ENGINEERING) | BACHELOR OF SCIENCE (BIOMEDICAL SCIENCE AND TECHNOLOGY) | BACHELOR OF TECHNOLOGY (MECHANICAL ENGINEERING TECHNOLOGY) | BACHELOR OF TECHNOLOGY (ELECTRICAL AND ELECTRONIC ENGINEERING TECHNOLOGY) | BACHELOR OF EDUCATION IN TECHNOLOGY (CIVIL ENGINEERING) | BACHELOR OF EDUCATION IN TECHNOLOGY (ELECTRICAL & ELECTRONIC ENGINEERING)"
engineering,Engineering,17-3025.00,Environmental Engineering Technologists and Technicians,8.000,engineering electrical civil mechanical industrial chemistry electronics biomedical electronic agricultural bio-systems chemical process structural financial mechatronic geospatial production mining mineral processing petroleum water environmental aerospace,"BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY, WITH IT) | BACHELOR OF ENGINEERING (CIVIL ENGINEERING) | BACHELOR OF SCIENCE (ELECTRICAL & ELECTRONICS ENGINEERING) | BACHELOR OF ENGINEERING (MECHANICAL ENGINEERING) | BACHELOR OF ENGINEERING (AGRICULTURAL & BIO-SYSTEMS ENGINEERING) | BACHELOR OF SCIENCE (BIOMEDICAL SCIENCE AND TECHNOLOGY) | BACHELOR OF TECHNOLOGY (MECHANICAL ENGINEERING TECHNOLOGY) | BACHELOR OF TECHNOLOGY (ELECTRICAL AND ELECTRONIC ENGINEERING TECHNOLOGY) | BACHELOR OF EDUCATION IN TECHNOLOGY (CIVIL ENGINEERING) | BACHELOR OF EDUCATION IN TECHNOLOGY (ELECTRICAL & ELECTRONIC ENGINEERING)"
engineering,Engineering,17-3027.00,Mechanical Engineering Technologists and Technicians,8.000,engineering electrical civil mechanical industrial chemistry electronics biomedical electronic agricultural bio-systems chemical process structural financial mechatronic geospatial production mining mineral processing petroleum water environmental aerospace,"BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY, WITH IT) | BACHELOR OF ENGINEERING (CIVIL ENGINEERING) | BACHELOR OF SCIENCE (ELECTRICAL & ELECTRONICS ENGINEERING) | BACHELOR OF ENGINEERING (MECHANICAL ENGINEERING) | BACHELOR OF ENGINEERING (AGRICULTURAL & BIO-SYSTEMS ENGINEERING) | BACHELOR OF SCIENCE (BIOMEDICAL SCIENCE AND TECHNOLOGY) | BACHELOR OF TECHNOLOGY (MECHANICAL ENGINEERING TECHNOLOGY) | BACHELOR OF TECHNOLOGY (ELECTRICAL AND ELECTRONIC ENGINEERING TECHNOLOGY) | BACHELOR OF EDUCATION IN TECHNOLOGY (CIVIL ENGINEERING) | BACHELOR OF EDUCATION IN TECHNOLOGY (ELECTRICAL & ELECTRONIC ENGINEERING)"
engineering,Engineering,51-2022.00,Electrical and Electronic Equipment Assemblers,8.000,engineering electrical civil mechanical industrial chemistry electronics biomedical electronic agricultural bio-systems chemical process structural financial mechatronic geospatial production mining mineral processing petroleum water environmental aerospace,"BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY, WITH IT) | BACHELOR OF ENGINEERING (CIVIL ENGINEERING) | BACHELOR OF SCIENCE (ELECTRICAL & ELECTRONICS ENGINEERING) | BACHELOR OF ENGINEERING (MECHANICAL ENGINEERING) | BACHELOR OF ENGINEERING (AGRICULTURAL & BIO-SYSTEMS ENGINEERING) | BACHELOR OF SCIENCE (BIOMEDICAL SCIENCE AND TECHNOLOGY) | BACHELOR OF TECHNOLOGY (MECHANICAL ENGINEERING TECHNOLOGY) | BACHELOR OF TECHNOLOGY (ELECTRICAL AND ELECTRONIC ENGINEERING TECHNOLOGY) | BACHELOR OF EDUCATION IN TECHNOLOGY (CIVIL ENGINEERING) | BACHELOR OF EDUCATION IN TECHNOLOGY (ELECTRICAL & ELECTRONIC ENGINEERING)"
engineering,Engineering,17-2021.00,Agricultural Engineers,7.000,engineering electrical civil mechanical industrial chemistry electronics biomedical electronic agricultural bio-systems chemical process structural financial mechatronic geospatial production mining mineral processing petroleum water environmental aerospace,"BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY, WITH IT) | BACHELOR OF ENGINEERING (CIVIL ENGINEERING) | BACHELOR OF SCIENCE (ELECTRICAL & ELECTRONICS ENGINEERING) | BACHELOR OF ENGINEERING (MECHANICAL ENGINEERING) | BACHELOR OF ENGINEERING (AGRICULTURAL & BIO-SYSTEMS ENGINEERING) | BACHELOR OF SCIENCE (BIOMEDICAL SCIENCE AND TECHNOLOGY) | BACHELOR OF TECHNOLOGY (MECHANICAL ENGINEERING TECHNOLOGY) | BACHELOR OF TECHNOLOGY (ELECTRICAL AND ELECTRONIC ENGINEERING TECHNOLOGY) | BACHELOR OF EDUCATION IN TECHNOLOGY (CIVIL ENGINEERING) | BACHELOR OF EDUCATION IN TECHNOLOGY (ELECTRICAL & ELECTRONIC ENGINEERING)"
engineering,Engineering,17-2031.00,Bioengineers and Biomedical Engineers,7.000,engineering electrical civil mechanical industrial chemistry electronics biomedical electronic agricultural bio-systems chemical process structural financial mechatronic geospatial production mining mineral processing petroleum water environmental aerospace,"BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY, WITH IT) | BACHELOR OF ENGINEERING (CIVIL ENGINEERING) | BACHELOR OF SCIENCE (ELECTRICAL & ELECTRONICS ENGINEERING) | BACHELOR OF ENGINEERING (MECHANICAL ENGINEERING) | BACHELOR OF ENGINEERING (AGRICULTURAL & BIO-SYSTEMS ENGINEERING) | BACHELOR OF SCIENCE (BIOMEDICAL SCIENCE AND TECHNOLOGY) | BACHELOR OF TECHNOLOGY (MECHANICAL ENGINEERING TECHNOLOGY) | BACHELOR OF TECHNOLOGY (ELECTRICAL AND ELECTRONIC ENGINEERING TECHNOLOGY) | BACHELOR OF EDUCATION IN TECHNOLOGY (CIVIL ENGINEERING) | BACHELOR OF EDUCATION IN TECHNOLOGY (ELECTRICAL & ELECTRONIC ENGINEERING)"
engineering,Engineering,17-3012.00,Electrical and Electronics Drafters,7.000,engineering electrical civil mechanical industrial chemistry electronics biomedical electronic agricultural bio-systems chemical process structural financial mechatronic geospatial production mining mineral processing petroleum water environmental aerospace,"BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY, WITH IT) | BACHELOR OF ENGINEERING (CIVIL ENGINEERING) | BACHELOR OF SCIENCE (ELECTRICAL & ELECTRONICS ENGINEERING) | BACHELOR OF ENGINEERING (MECHANICAL ENGINEERING) | BACHELOR OF ENGINEERING (AGRICULTURAL & BIO-SYSTEMS ENGINEERING) | BACHELOR OF SCIENCE (BIOMEDICAL SCIENCE AND TECHNOLOGY) | BACHELOR OF TECHNOLOGY (MECHANICAL ENGINEERING TECHNOLOGY) | BACHELOR OF TECHNOLOGY (ELECTRICAL AND ELECTRONIC ENGINEERING TECHNOLOGY) | BACHELOR OF EDUCATION IN TECHNOLOGY (CIVIL ENGINEERING) | BACHELOR OF EDUCATION IN TECHNOLOGY (ELECTRICAL & ELECTRONIC ENGINEERING)"
engineering,Engineering,49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment",7.000,engineering electrical civil mechanical industrial chemistry electronics biomedical electronic agricultural bio-systems chemical process structural financial mechatronic geospatial production mining mineral processing petroleum water environmental aerospace,"BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY, WITH IT) | BACHELOR OF ENGINEERING (CIVIL ENGINEERING) | BACHELOR OF SCIENCE (ELECTRICAL & ELECTRONICS ENGINEERING) | BACHELOR OF ENGINEERING (MECHANICAL ENGINEERING) | BACHELOR OF ENGINEERING (AGRICULTURAL & BIO-SYSTEMS ENGINEERING) | BACHELOR OF SCIENCE (BIOMEDICAL SCIENCE AND TECHNOLOGY) | BACHELOR OF TECHNOLOGY (MECHANICAL ENGINEERING TECHNOLOGY) | BACHELOR OF TECHNOLOGY (ELECTRICAL AND ELECTRONIC ENGINEERING TECHNOLOGY) | BACHELOR OF EDUCATION IN TECHNOLOGY (CIVIL ENGINEERING) | BACHELOR OF EDUCATION IN TECHNOLOGY (ELECTRICAL & ELECTRONIC ENGINEERING)"
